Timestamp,Invoice_No_,Staff,Customer_Name,Status,Area,Table_No_,Item_Name,Total_Amount,Total_Quantity
2024-10-13 16:07:38+00:00,C2088,TB,,Complimentary,PARTY,CRISOL,"Amritsari Dal,CREAM CARAMEL,Chicken Kebabs (Chicken Angare),Chinese Prawns (REGULAR),Dum Pukht Biryani (VEG),FRESH LIME SODA,Kung Pao Patato,MALAI KULFI,MUTTON ROGAN JOSH,Manchow Soup (CHICKEN),Manchow Soup (VEG),Missi Roti,Murg Makhanwala,Mushroom Galauti,Naan,Paneer Ke Shikanje,Paneer Lawabdar,Paratha Plain,Plain Kulcha,ROASTED PAPAD,Rajasthani Laal Maas,Rawas,Roti,Subzi Lahori,Virgin Colada,Virgin Mojito",61280.0,129.0
2024-10-13 18:49:50+00:00,C2089,SK,,Complimentary,Garden Table,G 5,"ANGOORI RABDI,Chicken Hunan,Chinese Pompfret (400 GMS),Exotic Hot Pot Vegtable,FRESH LIME SODA,FRIED RICE (VEG),HAKKA NOODLES (VEG),Virgin Mojito",8330.0,10.0
2024-10-13 18:59:41+00:00,C2090,Multiple,,Complimentary,Dine in,11,"CREAM CARAMEL,GREEN TEA,MALAI KULFI,MILLENNIUM KULFI",1030.0,4.0
2024-10-13 20:46:00+00:00,C2091,Multiple,,Complimentary,Parcel,nan,"CHICKEN SUKHA,Neer Dosa(4pc),Prawns (REGULAR)",2725.0,5.0
2024-10-13 23:42:58+00:00,C2092,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,15.0
2024-10-13 23:59:41+00:00,C2093,TD,,Complimentary,Dine in,3,"BROWNIE SUNDAE,Bottled Water,Butter Naan,Crispy Spinach Paneer,EGG MASALA,FUTCHI RICE (VEG),Fruit Punch,Stir Fried Chicken Chilly & Basil,Subzi Kofta Masala,Virgin Mojito",4587.5,11.5
2024-10-14 00:18:04+00:00,C2094,TB,,Complimentary,PARTY,CRISOL,"Amritsari Dal,Bottled Water,COFFEE,Chicken Kebabs (Chicken Angare),Chilli Chicken,Crispy Spinach Paneer,Dum Paneer Kalamiri,Dum Pukht Biryani (CHICKEN),GULAB JAMUN,Green Salad,Jeera Rice,Lemon Coriander Soup (CHICKEN),Lemon Fizz,Manchow Soup (VEG),Murg Makhanwala,Naan,Papad Fried,Paratha Plain,Plain Kulcha,ROASTED ALMOND KULFI,Raita,Rawas,Roti,Tawa Lamb,Veg Cheesy Roll,Virgin Colada",64015.0,134.0
2024-10-14 00:28:20+00:00,C2095,Multiple,,Complimentary,Dine in,B 3,Chettinad Chicken,397.5,0.5
2024-10-14 00:43:01+00:00,C2096,SK,,Complimentary,Dine in,B 1,Dhabe Da Murg,1590.0,2.0
2024-10-14 14:40:51+00:00,C2097,TB,,Complimentary,Dine in,4,"BUTTER PUDINA PARATHA,Basmati Rice,Bottled Water,Dal Tadka,Diwani Handi",2857.5,11.5
2024-10-14 15:40:14+00:00,C2098,TD,,Complimentary,Personal Dine In Room,PDR 4,"Sex On The Beach (REGULAR),Side Car",2500.0,4.0
2024-10-14 15:40:15+00:00,C2099,TD,,Complimentary,Personal Dine In Room,PDR 4,"Bottled Water,Crispy Spinach Paneer,Dim Sum (CHICKEN),HOT POT NOODLES (PRAWNS),Stir Fried Chicken Chilly & Basil,TIRAMISU",2367.5,4.5
2024-10-14 15:51:14+00:00,C2100,Multiple,,Complimentary,Dine in,11,"Bhindi Mirch Masala,LASOONI PALAK",795.0,1.0
2024-10-14 19:07:03+00:00,C2101,Multiple,,Complimentary,Dine in,B 1,OMELETTE SANDWICH,250.0,1.0
2024-10-14 19:07:26+00:00,C2102,Multiple,,Complimentary,Dine in,B 3,GREEN TEA,115.0,1.0
2024-10-14 19:36:22+00:00,C2103,Multiple,,Complimentary,Dine in,B 1,Red Bull,425.0,1.0
2024-10-14 19:51:55+00:00,C2104,Multiple,,Complimentary,Parcel,nan,Saladde Annabella,525.0,1.0
2024-10-14 19:52:13+00:00,C2105,Multiple,,Complimentary,Parcel,nan,PANEER CHILLY DRY,795.0,1.0
2024-10-14 23:04:41+00:00,C2106,TD,,Complimentary,Dine in,9,"Bottled Water,Butter Paratha,CARAMEL Custard(egg Less),CHICKEN TIKKA (Jamaican),CREAM CARAMEL,Chicken Kebabs (Chicken Angare),Chilly Crispy Patato,Crispy Corn,Dal Tadka,Dim Sum (VEG),Diwani Handi,Dum Paneer Kalamiri,FRESH LIME SODA,Fruit Punch,GULAB JAMUN,Jeera Rice,MALAI KULFI,Manchow Soup (VEG),Missi Roti,Multani Murgh,Mushroom Galauti,Mushroom Paneer Babycorn In Red Chilli Flakes,ONION KULCHA,PEPSI,Paneer Ke Shikanje,Papad Masala,Pompfret (400 GMS),Roti,Surmai,THUMPS UP,TOMATO SOUP,Tom Yum Soup (CHICKEN),Virgin Mojito",23892.5,67.5
2024-10-14 23:30:08+00:00,C2107,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,12.0
2024-10-14 23:47:36+00:00,C2108,Multiple,,Complimentary,Dine in,B 1,"Methi Paneer,Roti",652.5,3.5
2024-10-14 23:49:26+00:00,C2109,TD,,Complimentary,Dine in,12,"Bottled Water,Crispy Spinach Chicken,Dum Pukht Biryani (VEG),FRIED RICE (CHICKEN),Fruit Punch,Prawns (REGULAR),Surmai,THUMPS UP,Tishing Hai Chicken,Veg Cheesy Roll",5777.5,11.5
2024-10-15 00:20:15+00:00,C2110,Multiple,,Complimentary,Dine in,B 2,DAL KHICHDI,337.5,0.5
2024-10-15 14:48:02+00:00,C2111,Multiple,,Complimentary,Dine in,4,"Basmati Rice,Dal Tadka,Plain Curd",1225.0,3.0
2024-10-15 14:48:25+00:00,C2112,Multiple,,Complimentary,Dine in,B 1,Roti,170.0,2.0
2024-10-15 16:09:54+00:00,C2113,Multiple,,Complimentary,Dine in,B 1,"Butter Paratha,Dum Paneer Kalamiri",1065.0,3.0
2024-10-15 16:10:18+00:00,C2114,Multiple,,Complimentary,Dine in,B 2,Methi Malai Mutter,397.5,0.5
2024-10-15 22:47:08+00:00,C2115,TD,,Complimentary,Garden Table,G 5,"BURNT GARLIC RICE (VEG),Bottled Water,Crispy Chicken Chef Style,Crispy Corn,Dum Pukht Biryani (CHICKEN),KULFI RABDI FALOODA,PANEER CHILLY DRY,THUMPS UP",4312.5,9.5
2024-10-15 23:17:05+00:00,C2116,SK,,Complimentary,Dine in,2,"Bottled Water,CAKE - N.C,Manchow Soup (CHICKEN),Manchow Soup (VEG)",730.0,4.0
2024-10-15 23:24:11+00:00,C2117,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,12.0
2024-10-15 23:50:53+00:00,C2118,SK,,Complimentary,Dine in,B 1,ALOO GOBI,1590.0,2.0
2024-10-15 23:55:27+00:00,C2119,Multiple,,Complimentary,Dine in,B 2,Green Salad,375.0,1.0
2024-10-16 00:22:04+00:00,C2120,Multiple,,Complimentary,Dine in,B 2,HOT FUDGE NUT SUNDAE,395.0,1.0
2024-10-16 16:30:54+00:00,C2121,Multiple,,Complimentary,Dine in,B 1,"Bottled Water,Green Salad",375.0,3.0
2024-10-16 18:59:00+00:00,C2122,TD,,Complimentary,Dine in,11,GREEN TEA,115.0,1.0
2024-10-16 19:30:00+00:00,C2123,Multiple,,Complimentary,Dine in,B 1,"COFFEE,FRESH LIME SODA",310.0,2.0
2024-10-16 20:36:00+00:00,C2124,SK,,Complimentary,Parcel,nan,"Manchow Soup (VEG),TOMATO SOUP",1015.0,3.0
2024-10-16 23:12:38+00:00,C2125,SK,,Complimentary,Parcel,nan,"Chinese Prawns (REGULAR),PANEER MAKHANWALA",2050.0,2.0
2024-10-16 23:23:43+00:00,C2126,UU,,Complimentary,Dine in,B 3,Bottled Water,0.0,12.0
2024-10-17 00:19:55+00:00,C2127,Multiple,,Complimentary,Dine in,B 3,THAI CURRY GREEN (CHICKEN),397.5,0.5
2024-10-17 00:20:08+00:00,C2128,SK,,Complimentary,Dine in,B 2,Ceasar Salad,242.5,0.5
2024-10-17 00:20:23+00:00,C2129,SK,,Complimentary,Dine in,B 1,Subzi Sunheri,1590.0,2.0
2024-10-17 13:26:35+00:00,C2130,SM,,Complimentary,Dine in,16,Bottled Water,0.0,1.0
2024-10-17 15:36:09+00:00,C2131,Multiple,,Complimentary,Dine in,11,"Bottled Water,Brown Rice,FRIED RICE (Egg),Green Salad,Pindi Chana",1740.0,5.0
2024-10-17 19:17:23+00:00,C2132,MK,,Complimentary,Personal Dine In Room,PDR 3,"Murg Tikka Nawabi,Paneer Ke Shikanje,Roti,Subzi Kofta Masala,Surmai",4175.0,8.0
2024-10-17 19:17:50+00:00,C2133,Multiple,,Complimentary,Dine in,4,"Bottled Water,TEA",200.0,3.0
2024-10-17 19:18:06+00:00,C2134,Multiple,,Complimentary,Dine in,11,GREEN TEA,115.0,1.0
2024-10-17 19:26:20+00:00,C2135,Multiple,,Complimentary,Dine in,B 1,Red Bull,425.0,1.0
2024-10-17 19:28:04+00:00,C2136,SK,,Complimentary,Parcel,nan,"Bhindi Mirch Masala,Indian Pompfret (400 GMS),Indian Prawns (REGULAR)",7802.5,5.5
2024-10-17 21:33:09+00:00,C2137,TB,,Complimentary,PARTY,CRISOL,"BLUE BERRY CHEESE CAKE,Bottled Water,CHOCOLATE MOUSSE,COFFEE,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Chicken Reshmi),Dim Sum (CHICKEN),Dim Sum (VEG),FRESH LIME SODA,Mushroom Galauti,Paneer Ke Shikanje,SEVEN UP,TEA,THUMPS UP",30915.0,67.0
2024-10-17 22:02:21+00:00,C2138,Multiple,,Complimentary,Parcel,nan,"Chilli Chicken,DAL KHICHDI,Murgh -Ka-Salan,Roti",2377.5,8.5
2024-10-18 00:26:24+00:00,C2139,Multiple,,Complimentary,Dine in,B 2,EGG BHURJEE,500.0,2.0
2024-10-18 00:26:43+00:00,C2140,Multiple,,Complimentary,Dine in,B 1,Cheese & Garlic Naan,290.0,1.0
2024-10-18 00:27:39+00:00,C2141,Multiple,,Complimentary,Dine in,B 1,Green Salad,375.0,1.0
