Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Payment_Type,Total_Sales,Service_Charge_Rate,Calculated_Service_Charge_Amount,Service_Feedback,Food_Feedback,TABLE,Area,Items,modify_comment
Detail,2024-06-30 23:28:39+00:00,1492,SS,sachindra (sachindra),Cash,2155.0,5.0,107.75,,,PDR 3,Personal Dine In Room,"Budweiser Magnum,KINGFISHER ULTRA,SMIRNOFF",SC%
Detail,2024-05-02 22:58:17+00:00,518,SM,sachindra (sachindra),Cash,9500.0,5.0,475.0,,,1,Dine in,GLENFIDDICH - 12 YEARS,YES
Detail,2024-05-18 15:35:43+00:00,799,MK,sachindra (sachindra),Cash,2250.0,5.0,112.5,,,10,Dine in,"CORONA,KINGFISHER ULTRA",
Detail,2024-05-25 14:19:51+00:00,879,TD,sachindra (sachindra),Cash,1380.0,5.0,69.0,,,14,Dine in,KINGFISHER STRONG,yes
Detail,2024-08-10 13:53:49+00:00,2113,MK,sachindra (sachindra),Cash,375.0,5.0,18.75,,,22,Dine in,TEACHER'S 50,
Detail,2024-06-23 15:55:46+00:00,1366,MK,sachindra (sachindra),Cash,465.0,5.0,23.25,,,16,Dine in,KINGFISHER ULTRA,SC%
Detail,2024-05-26 15:11:10+00:00,916,SM,sachindra (sachindra),Cash,465.0,5.0,23.25,,,4,Dine in,KINGFISHER ULTRA,YES
Detail,2024-09-29 14:26:07+00:00,2871,SM,sachindra (sachindra),Cash,465.0,5.0,23.25,,,6,Dine in,BUDWEISER,SC
Detail,2024-05-25 14:20:38+00:00,3173,TD,sachindra (sachindra),Cash,1385.0,5.0,69.25,,,21,Dine in,"Butter Roti,Raita,Roti,Subzi Lahori",yes
Detail,2024-04-23 23:29:28+00:00,1254,SM,sachindra (sachindra),Cash,2765.0,5.0,138.25,,,20,Dine in,"Basmati Rice,Bhindi Mirch Masala,Butter Paratha,Butter Roti,Dal Tadka,PEPSI,Red Bull",yes
Detail,2024-06-04 20:55:21+00:00,3797,SM,sachindra (sachindra),Cash,1160.0,5.0,58.0,,,6,Dine in,"Burnt Garlic Soup (VEG),Paneer Ke Shikanje",YES
Detail,2024-09-22 23:03:42+00:00,10232,MK,vijay (vijay shetty),Cash,22060.0,5.0,1103.0,,,PDR 1,Personal Dine In Room,"Amritsari Dal,BUTTER GARLIC NAAN,Basmati Rice,Butter Kulcha,Butter Milk,Butter Roti,Cheese & Garlic Naan,Crispy Corn,Dal Tadka,Diwani Handi,Exotic Stir Fried Vegetable,FRESH LIME SODA,FUTCHI RICE (VEG),MASALA CHAAS,Manchow Soup (VEG),Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Papad Masala,ROASTED PAPAD,Spice Guava,Subzi Kofta Masala,THUMPS UP,TOMATO SOUP,Virgin Colada,Virgin Mojito",removed sc
Detail,2024-07-30 22:14:00+00:00,6953,MK,sachindra (sachindra),Cash,11195.0,5.0,559.75,,,20,Dine in,"Amritsari Dal,BUTTER GARLIC NAAN,Butter Naan,Butter Roti,Cheese & Garlic Naan,Chicken Kebabs (Murg Lalwari),Diwani Handi,Dragon Roll (CHICKEN),Hara Bhara Kabab,Lemon Ice Tea,Maratha Chicken,Murg Makhanwala,Mushroom Galauti,Paneer Ke Shikanje,Peach Iced Tea,Virgin Colada,Zafrani Chicken",SC
Detail,2024-09-22 15:39:13+00:00,10154,MK,sachindra (sachindra),Cash,9110.0,5.0,455.5,,,10,Dine in,"ALOO PARATHA,ANGOORI RABDI,BROWNIE SUNDAE,Dum Pukht Biryani (VEG),FRESH LIME SODA,FRESH LIME WATER,GULAB JAMUN,Lemon Ice Tea,Papad Masala,Pepper Blast Paneer,Stir Fried Chicken Chilly & Basil,Stuffed Kulcha,Subzi Kurkure Kebab,TOMATO SOUP,Veg Sweet Corn Soup",SC
Detail,2024-06-23 15:35:23+00:00,4877,MK,sachindra (sachindra),Cash,11050.0,5.0,552.5,,,2,Dine in,"Amritsari Dal,BUTTER GARLIC NAAN,BUTTER PUDINA PARATHA,Bhara Hua Aloo,Bukhara Kofta Curry,Butter Paratha,Butter Roomali Roti,Cottage Cheese With Three Peppers,Diwani Handi,FUTCHI NOODLES (VEG),Jeera Rice,KESAR PISTA KULFI,ROASTED PAPAD,Stuffed Kulcha,TANDOORI ALOO",sc%
Detail,2024-09-19 23:08:06+00:00,9983,MK,vijay (vijay shetty),Cash,6065.0,5.0,303.25,,,20,Dine in,"ALOO JEERA,Butter Naan,Butter Paratha,Butter Roti,Dal Tadka,Dum Aloo Amritsari,FRESH LIME SODA,ONION KULCHA,Paneer Tikka Masala,ROASTED PAPAD,SEVEN UP,TOMATO SOUP",
Detail,2024-04-20 14:56:47+00:00,1022,MK,sachindra (sachindra),Cash,14960.0,5.0,748.0,,,10,Dine in,"Avadhi Chicken,BUTTER GARLIC NAAN,Butter Paratha,CLEAR SOUP (CHICKEN),Cheese & Garlic Naan,Chicken Kebabs (Chicken Reshmi),Crispy Corn,Dum Aloo Amritsari,FUTCHI RICE (VEG),Hara Bhara Kabab,KULFI RABDI FALOODA,Lemon Coriander Soup (CHICKEN),Manchow Soup (VEG),Missi Roti,Pompfret (500 GMS),Prawns (100 GMS),ROASTED PAPAD,Stuffed Kulcha,Sweet Corn Soup (CHICKEN),Sweet Corn Soup (VEG),Virgin Mojito",
Detail,2024-07-04 14:53:22+00:00,5467,MK,vijay (vijay shetty),Cash,4710.0,5.0,235.5,,,14,Dine in,"Amritsari Dal,BUTTER GARLIC NAAN,Bhara Hua Aloo,Butter Naan,Murg Tikka Nawabi,Paneer Lawabdar,Stuffed Kulcha,Virgin Colada",removed sc
Detail,2024-10-03 15:24:22+00:00,10809,MK,sachindra (sachindra),Cash,10155.0,5.0,507.75,,,15,Dine in,"ALOO PARATHA,Butter Paratha,Crispy Corn,Diwani Handi,FRESH LIME SODA,FUTCHI RICE (VEG),French Fries,Garlic Bread,Juices Fresh,LASSI,Manchow Soup (VEG),PANEER TIKKA,Paneer Ke Shikanje,TOMATO SOUP",SC%
Detail,2024-05-18 15:35:39+00:00,2770,MK,sachindra (sachindra),Cash,84095.0,5.0,4204.75,,,10,Dine in,"Basmati Rice,Burnt Garlic Soup (CHICKEN),Chicken Hunan,Chicken In Szechwan Style,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Chicken Malai),Chilli Chicken,Crispy Spinach Chicken,DIET COKE,Exotic Hot Pot Vegtable,Exotic Stir Fried Vegetable,FRESH LIME SODA,FRIED RICE (CHICKEN),FRIED RICE (VEG),HAKKA NOODLES (CHICKEN),HAKKA NOODLES (VEG),Juices Natural,KULFI RABDI FALOODA,Lemon Coriander Soup (VEG),Lemon Ice Tea,MALAI KULFI,Manchow Soup (CHICKEN),Manchow Soup (VEG),Murg Makhanwala,Naan,Paneer Ke Shikanje,Peach Iced Tea,Pompfret (500 GMS),Pompfret (800 GMS),Roti,SEVEN UP,SZECHWAN FRIED RICE (VEG),Sour & Pepper Soup (CHICKEN),Stir Fried Chicken Chilly & Basil,Subzi Kurkure Kebab,Sweet Corn Soup (CHICKEN),TEA,THUMPS UP,TOMATO SOUP,Tandoori Chicken (HALF),VEG MANCHURIAN DRY,Veg Sweet Corn Soup,Virgin Mojito",
