Date,Timestamp,Invoice_No_,Name,Phone,Area,Table_No_,Payment_Type,Ordered_Items,Staff,Bill_Settled_By,Duration_In_Minutes
2024-10-06,2024-10-06 22:43:42+00:00,11043,,,Dine in,15,Cash,"Bottled Water,Chicken Kebabs (Murg Lalwari),Crispy Corn,DIET COKE,Dim Sum (VEG),FUTCHI RICE (VEG),Kung Pao Patato,Lemon Coriander Soup (VEG),Manchow Soup (CHICKEN),Shirely Temple,Virgin Colada",MK,vijay (vijay shetty),22
2024-10-06,2024-10-06 22:43:43+00:00,2981,,,Dine in,15,Cash,Sunrise Tequila (REGULAR),MK,vijay (vijay shetty),22
2024-10-14,2024-10-14 16:01:25+00:00,11537,,,Dine in,16,Cash,"Brocoli,Babycorn Mushroom Sizzle Chilly,Dragon Roll (VEG),Dum Pukht Biryani (VEG),Manchow Soup (VEG),Sour & Pepper Soup (VEG)",SM,sachindra (sachindra),20
2024-10-13,2024-10-13 14:59:52+00:00,11432,,,Dine in,16,Cash,"Bottled Water,Butter Roomali Roti,Butter Roti,CHOCOLATE FONDUE CAKE,Paneer Peri Peri Tikka,Phalguni Sabzi,Sweet Corn Soup (CHICKEN),Thod Man Khow Phad,Tom Kha Soup (VEG),Zafrani Chicken",TD,sachindra (sachindra),19
2024-10-02,2024-10-02 15:30:31+00:00,10747,,,Dine in,12,Cash,"Amritsari Dal,Butter Naan,Butter Paratha,CARAMEL Custard(egg Less),Exotic Hot Pot Vegtable,FRESH LIME SODA,Garlic Bread,HAKKA NOODLES (VEG),Juices Fresh,Lemon Coriander Soup (VEG),Lemon Coriander Soup (VEG),Lemon Ice Tea,MANGO KULFI,MOONGDAL HALWA,Manchow Soup (VEG),PANEER CHILLY DRY,Paneer Ke Shikanje,Phalguni Sabzi,Stuffed Kulcha,Subzi Kurkure Kebab,Veg Sweet Corn Soup,Virgin Mojito,Virgin Mojito,Virgin Mojito",TD,vijay (vijay shetty),18
2024-10-03,2024-10-03 14:52:56+00:00,10807,,,Dine in,10,Cash,"BUTTER PUDINA PARATHA,BUTTER PUDINA PARATHA,Bottled Water,Bottled Water,Bottled Water,Butter Naan,Chicken Kebabs (Murg Alishan),FUTCHI RICE (CHICKEN),Manchow Soup (CHICKEN),Manchow Soup (CHICKEN),Murg Tikka Nawabi,PAN FRIED NOODLES (VEG),Rawas,Sour & Pepper Soup (VEG),Stir Fried Chicken Chilly & Basil",MK,sachindra (sachindra),18
2024-10-15,2024-10-15 23:17:58+00:00,11612,,,Dine in,9,CARD,"Bottled Water,Bottled Water,Burnt Garlic Soup (VEG),DIET COKE,Dim Sum (VEG),Exotic Stir Fried Vegetable,Exotic Stir Fried Vegetable,FORTUNE RICE (VEG),FRESH LIME SODA,FRESH LIME WATER,Garlic Bread,Juices Fresh,Kung Pao Patato,Manchow Soup (VEG),Mist Fantsy,Mushroom Galauti,PANEER CHILLY DRY,Paneer Ke Shikanje,ROASTED PAPAD,Subzi Kurkure Kebab,TEA,TOMATO SOUP,TOMATO SOUP,Veg Sweet Corn Soup",SM,vijay (vijay shetty),18
2024-10-15,2024-10-15 23:18:00+00:00,3117,,,Dine in,9,CARD,"GLENLIVET - 12 YEARS,GLENLIVET - 12 YEARS,HOEGAARDEN,HOEGAARDEN",SM,vijay (vijay shetty),18
2024-10-11,2024-10-11 22:49:57+00:00,11284,,,Dine in,12,Part Payment,"BROWNIE SUNDAE,HAKKA NOODLES (VEG),Kung Pao Patato,Manchow Soup (VEG),Mushroom Paneer Babycorn In Red Chilli Flakes,Subzi Kurkure Kebab,Wonton & Noodle Soup (VEG)",TD,sachindra (sachindra),17
2024-10-13,2024-10-13 15:49:33+00:00,11447,,,PARTY,CRS 2,Cash,BUFFET,TB,sachindra (sachindra),17
2024-10-13,2024-10-13 15:49:56+00:00,11448,,,PARTY,CRS 1,Cash,"Bottled Water,DIET COKE,DIET COKE,Juices Fresh,SEVEN UP,THUMPS UP,THUMPS UP,Tonic Water",TB,sachindra (sachindra),17
2024-10-11,2024-10-11 22:50:11+00:00,3037,,,Dine in,12,Cash,"HOUSEWINE-INDIAN ROSE,HOUSEWINE-INDIAN ROSE",TD,sachindra (sachindra),17
2024-10-13,2024-10-13 15:49:57+00:00,3078,,,PARTY,CRS 1,Cash,"Bloody Mary (ABSOLUT),Caprioska (ABSOLUT),Caprioska (ABSOLUT),HENDRICKS,HENDRICKS,HOEGAARDEN,Kingfisher Ultra Max",TB,sachindra (sachindra),17
2024-10-14,2024-10-15 00:07:01+00:00,3104,,,Garden Table,G 1,Cash,GLENLIVET - 12 YEARS,MK,vijay (vijay shetty),17
2024-10-01,2024-10-01 15:44:37+00:00,10681,,,Dine in,22,CARD,"Bottled Water,Dim Sum (VEG),FRIED RICE (VEG),VEG MANCHURIAN DRY,Virgin Mojito",SM,sachindra (sachindra),16
2024-10-14,2024-10-14 23:53:09+00:00,11560,,,Personal Dine In Room,PDR 4,Part Payment,"Bottled Water,CREAM CARAMEL,Chicken Kebabs (Chicken Angare),Chicken Pepper Chilly Garlic,Chinese Pompfret (700 GMS),Crispy Corn,DAL KHICHDI,Exotic Stir Fried Vegetable,Exotic Stir Fried Vegetable,FRESH LIME SODA,FRIED RICE (Egg),Green Salad,Green Salad,KUNG PAO PANEER,Lemon Coriander Soup (VEG),Lemon Coriander Soup (VEG),MALAI KULFI,Manchow Soup (VEG),ROASTED PAPAD,Raita,Seafood Combo Soup,Soda,Tandoori Platter (VEG),Tonic Water,Tonic Water,Tonic Water,Tonic Water",TB,vijay (vijay shetty),16
2024-10-14,2024-10-15 00:07:07+00:00,11562,,,Garden Table,G 2,Cash,"Amritsari Dal,BAVARIAN CHOCOLATE CHEESE CAKE (egg Less),BUTTER GARLIC NAAN,Basmati Rice,Bottled Water,Bottled Water,Burnt Garlic Soup (VEG),Burnt Garlic Soup (VEG),Burnt Garlic Soup (VEG),Butter Naan,Butter Paratha,Butter Paratha,Butter Roti,Cheese Cherry Pineapple,Cheese Cherry Pineapple,Cheese Cherry Pineapple,Cottage Cheese With Three Peppers,Crispy Corn,DAL KHICHDI,Dal Tadka,Diwani Handi,Dum Pukht Biryani (VEG),FRESH LIME SODA,Jal Jeera,Kung Pao Patato,MALAI KULFI,MALAI KULFI,MASALA CHAAS,Mirchi Ka Salan,PANEER TIKKA,Papad Masala,ROASTED PAPAD,ROASTED PAPAD,ROASTED PAPAD,ROASTED PAPAD,ROASTED PAPAD,Raita,Roti,Roti,Soda,VEG KOLHAPURI",MK,vijay (vijay shetty),16
2024-10-14,2024-10-14 23:53:11+00:00,3103,,,Personal Dine In Room,PDR 4,Cash,"CHIVAS REGAL,CHIVAS REGAL,CORONA,CORONA,GREY GOOSE,HENDRICKS,HENDRICKS,HENDRICKS,HENDRICKS,HENDRICKS",TB,vijay (vijay shetty),16
2024-10-14,2024-10-15 00:07:09+00:00,3105,,,Garden Table,G 2,Cash,"BUDWEISER,BUDWEISER,BUDWEISER,BUDWEISER,BUDWEISER,BUDWEISER,BUDWEISER,BUDWEISER,GLENLIVET - 12 YEARS,GLENLIVET - 12 YEARS,GLENLIVET - 12 YEARS,KINGFISHER",MK,vijay (vijay shetty),16
2024-10-13,2024-10-13 15:40:01+00:00,11442,,,Personal Dine In Room,PDR 4,Part Payment,"Amritsari Dal,BUTTER GARLIC KULCHA,BUTTER SCOTCH ICE CREAM,Bottled Water,Butter Paratha,Cheese & Garlic Naan,FRESH LIME SODA,Fruit Punch,Kung Pao Patato,Manchow Soup (VEG),PANEER MAKHANWALA,ROASTED PAPAD,Roomali Roti,Roomali Roti,Roti,Subzi Lahori,Subzi Methi Ki Sheek,TIRAMISU",SK,sachindra (sachindra),15
2024-10-16,2024-10-16 17:28:36+00:00,11638,,,PARTY,CRS 1,Other [Paytm],ASSORTED COOKIES,SS,sachindra (sachindra),15
2024-10-13,2024-10-13 15:40:02+00:00,3077,,,Personal Dine In Room,PDR 4,Cash,"HOUSEWINE-INDIAN RED,HOUSEWINE-INDIAN RED,HOUSEWINE-INDIAN RED",SK,sachindra (sachindra),15
