Category_Name,Item_Name,Item_Online_display_name,Price,Commission_Type__P_Percentage__F_Fixed__N_None_,Commission_Value
COASTAL SEA FOOD,Lobster (400 GMS),Lobster,1800,P,5
COASTAL SEA FOOD,Lobster (500 GMS),Lobster,2250,P,5
COASTAL SEA FOOD,Lobster (600 GMS),Lobster,2700,P,5
COASTAL SEA FOOD,Lobster (700 GMS),Lobster,3150,P,5
COASTAL SEA FOOD,Lobster (800 GMS),Lobster,3600,P,5
COASTAL SEA FOOD,Coastal Prawns (100 GMS),Coastal Prawns,450,P,5
COASTAL SEA FOOD,Coastal Prawns (150 GMS),Coastal Prawns,675,P,5
COASTAL SEA FOOD,Coastal Prawns (250 GMS),Coastal Prawns,900,P,5
TANDOOR SEA FOOD,Tandoori Prawns  (100 Gms),Tandoori Prawns,0,P,5
TANDOOR SEA FOOD,Tandoori Prawns  (100 Gms) (100 GMS),Tandoori Prawns,450,P,5
TANDOOR SEA FOOD,Tandoori Prawns  (100 Gms) (150 GMS),Tandoori Prawns,675,P,5
TANDOOR SEA FOOD,Tandoori Prawns  (100 Gms) (250 GMS),Tandoori Prawns,900,P,5
BAR Imported Wine,Jacobs Creek Chardonnay,,5000,P,5
BAR Imported Wine,Jacobs Cabernet Shiraz,,5000,P,5
BAR Imported Wine,Barton & Guestier Reserve Merlot,,5000,P,5
BAR Imported Wine,El .Goru Monastrell.Syrah.Petit Verdot,,6650,P,5
BAR Imported Wine,The Black Shiraz Berton Vineyard,,8000,P,5
BAR Imported Wine,The Vermentino Berton Vineyard,,7700,P,5
BAR Imported Wine,Los Vascos Chardonnay,,8100,P,5
BAR Imported Wine,Casillero Del Diablo Merlot,,7500,P,5
BAR Imported Wine,Zuccardi Malbec,,11000,P,5
BAR Imported Wine,Santa Julia Malbec,,6800,P,5
BAR Imported Wine,Santa Julia Torrontes,,6800,P,5
BAR Imported Wine,Pampas Del Sur Malbec,,7500,P,5
BAR Imported Wine,Neserburg Sauvignon Blanc,,7000,P,5
BAR Imported Wine,Neserburg Shiraz,,7000,P,5
BAR SCOTCH WHISKY,GOLD LABEL,,975,P,5
BAR SCOTCH WHISKY,CHIVAS REGAL -18 YEARS,,1295,P,5
BAR SCOTCH WHISKY,BLUE LABEL,,2975,P,5
BAR SCOTCH WHISKY,MONKEY SHOULDER,,695,P,5
BAR SCOTCH WHISKY,Macallan 12 Yrs,macallan 12 yrs,1199,P,5
ORIENTAL SEA FOOD,Chinese Prawns (100 GMS),Chinese Prawns,450,P,5
ORIENTAL SEA FOOD,Chinese Prawns (150 GMS),Chinese Prawns,675,P,5
ORIENTAL SEA FOOD,Chinese Prawns (250 GMS),Chinese Prawns,900,P,5
BAR CLASSIC COCKTAILS,Double Bull Frog,,1000,P,5
BAR CLASSIC COCKTAILS,Whisky Sour Chivas Regal 18 Yrs,whisky sour chivas regal 18 yrs,1900,P,5
BAR CLASSIC COCKTAILS,Whisky Sour Jura,whisky sour jura,1650,P,5
BAR CLASSIC COCKTAILS,Margarita (SIEMPRE SILVER),,1150,P,5
BAR CLASSIC COCKTAILS,Bloody Mary (ABSOLUT),,600,P,5
BAR CLASSIC COCKTAILS,Bloody Mary (BELVEDERE),,990,P,5
BAR CLASSIC COCKTAILS,Bloody Mary (GREY GOOSE),,990,P,5
BAR CLASSIC COCKTAILS,Bloody Mary (CIROC),,990,P,5
BAR CLASSIC COCKTAILS,Bloody Mary (KETEL ONE),,750,P,5
BAR CLASSIC COCKTAILS,Screw Driver (ABSOLUT),,600,P,5
