Type,Missing_Item
Food Item,HONG KONG NOODLES (Mixed Seafood)
Food Item,Spicy Malaysian Noodles
Food Item,Peach Iced Tea
Food Item,GREEN TEA
Food Item,Red Bull
Food Item,FRESH LIME WATER
Food Item,FRESH LIME SODA
Food Item,SEVEN UP
Food Item,THUMPS UP
Food Item,Juices Natural
Food Item,DIET COKE
Food Item,Tonic Water
Food Item,JAMESON
Food Item,CAMPARI
Food Item,MARTINI (dry/swee)
Food Item,ROASTED PAPAD
Food Item,ROASTED MASALA PAPAD
Food Item,Plain Curd
Food Item,Cheese Cherry Pineapple
Raw Material,Tamma Kaapi
Raw Material,Bira White
Raw Material,Legacy Premium
Raw Material,Red Pumpkin
Raw Material,Pita Bread
Raw Material,Home Delivery (conv)
Raw Material,Repair Works
Raw Material,Printing
Raw Material,Car Wash
Raw Material,Ferrero Shells
Raw Material,Red Cabbage
Raw Material,Ink Pad
Raw Material,Hook
Raw Material,Green Cucumber
Raw Material,Thai Red Chilly Fresh
Raw Material,Red Raddish
Raw Material,Stationary
Raw Material,Surang
Raw Material,Spring File
Raw Material,Rosemary Fresh
Raw Material,Yellow Color
Raw Material,Johnson's Baby Oil
Raw Material,Shambhu
Raw Material,Sev Puri
Raw Material,750 Ml Silver Container Lid
Raw Material,Aa Battery
Raw Material,Pooja Expenses
Raw Material,Golden Flaks
Raw Material,White Pumpkin
Raw Material,Idli Wada
Raw Material,Sweet Potato
Raw Material,Tips
Raw Material,Demi Glace Sauce Powder
Raw Material,Gulkand
Raw Material,Chikki
Raw Material,Staff Veg
Raw Material,Voutcher File Box
Raw Material,Havmor Strawberry Ice Cream
Raw Material,Havmor Vanilla Ice Cream
Raw Material,White Yambin
Raw Material,Service Spoon
Raw Material,White Urad Dal
Raw Material,Bangda Fish
Raw Material,Cinzano Vermouth Rosso
Raw Material,Bathroom Slippers
Raw Material,Takos
Raw Material,Stone Knife
Raw Material,White Cloth
Raw Material,Cake Base Round
Raw Material,Piping Bag
Raw Material,Ice Drink Glass 350 Ml
Raw Material,Air Freshener Btl
Raw Material,Air Freshener Can
Raw Material,Punjabi Malai Paneer
Raw Material,Ech House Blend
Raw Material,Butter Croissant Small
Raw Material,Standup Pouches
Raw Material,Bombay Sapphire
Raw Material,Aji Amarillo
Raw Material,Mazes Of Coorg
Raw Material,Rubber Band
Raw Material,Orange Premium Juice Bottles
Raw Material,Small Onion
Raw Material,Mango Premium Juice Bottles
Raw Material,Pineapple Premium Juice Bottles
Raw Material,Chill Guava Premium Juice Bottles
Raw Material,Ravindra Shetty
Raw Material,Sula Sauvignon Blanc
Raw Material,Ad Register Front Office
Raw Material,Black Coffee Cup 450 Ml
Raw Material,Bacardi Reserva Ocho
Raw Material,Pan Pasand Ice Cream
Raw Material,Kesar Pista Ice Cream
Raw Material,Tikka Paneer
Raw Material,Edc Roll
Raw Material,Macarons
Raw Material,Sea Salt (btl)
Raw Material,Wild Chikmagalur
Raw Material,Black & White
Raw Material,Electricity Bill
Raw Material,Amazon & Flipkart
Raw Material,Napthalene Ball Colour
Raw Material,Wireless Mouse
Raw Material,Shower Cap
Raw Material,Cash Voucher Book
Raw Material,Frappe Can Glass 450 Ml
Raw Material,250 Gm Coffee Pouch
Raw Material,Flat Bottom Pouch
Raw Material,J W Black Label
Raw Material,Jw Gold Reserve
Raw Material,Butterscotch
Raw Material,Spatula
Raw Material,Havmor Butterscotch Ice Cream
Raw Material,Squeeze Bottle
Raw Material,Yellow Banana Chips Standup Pouches
Raw Material,Spicy Banana Chips Standup Pouches
Raw Material,Cooking Sake
Raw Material,Room Tag
Raw Material,California Almond Flour
Raw Material,Nagesh Shetty
Raw Material,Medical Expenses
Raw Material,Coffee Debara Set
Raw Material,Modak Box
Raw Material,Dustbin
Raw Material,Jaggery Powder
Raw Material,Anna Kaapi
Raw Material,Calculater
Raw Material,Incentives
Raw Material,Bisleri 1 Ltr
Raw Material,Pickel+chetny Set Bowl
Raw Material,Waves Of Malnad
Raw Material,Kodai Shroom
Raw Material,Black Dog Triple Gold Reserve
Raw Material,Soya Chap
Raw Material,Flower For Mpot
Raw Material,Chicken Seasoning Powder
Raw Material,Blenders Pride
Raw Material,Aji Rocoto Molido
Raw Material,Birthday Candle
Raw Material,Fire Gun
Raw Material,Squeeze Bottle Big
Raw Material,Aji Pancha Paste
Raw Material,Cayenne Pepper 40gm
Raw Material,Black Cup 250m
Raw Material,Dimsum Basket
Raw Material,Chivas Regal 18 Yrs
Raw Material,L
Raw Material,Nescafe Sachet
Raw Material,Vat 69
Raw Material,Gas Bill
Raw Material,Coffee Beans Lce Arabica
Raw Material,Grey Goose Vodka
Raw Material,Teachers Highland Cream
Raw Material,J & B Rare
Raw Material,Jim Beam
Raw Material,Martell V S
Raw Material,Hoysal Arabica Coffee Beans
Raw Material,Filter Coffee
Raw Material,The Dalmore 15yrs H. Single Malt Scotch
Raw Material,The Glenlivet 18yrs Single Malt Scotch
Raw Material,Smirnoff
Raw Material,Coffee Beans Monsoon Malbar
Raw Material,Hoegaarden Belgian
Raw Material,Budweiser
Raw Material,Glenfiddich 15
Raw Material,Ballantine S Finest
Raw Material,Gordons Dry
Raw Material,Grv Cab Shiraz
Raw Material,Chivas Regal 12 Yrs
Raw Material,Siempre Silver Tequila
Raw Material,Jacob S Creek Classic Chardonnay
Raw Material,Jacobs Creek Cabernet Shiraz
Raw Material,Jacob S Creek Classic Caberne Shirz
Raw Material,Campari
Raw Material,The Glenlivet 15 Y
Raw Material,Monkey Shoulder
Raw Material,Botanist
Raw Material,Sula Rasa Syrah Wine
Raw Material,Corona
Raw Material,The Jura 12yrs Single Malt Scotch
Raw Material,The Glenlivet 12 Years
Raw Material,Glenfiddich 12
Raw Material,Kingfisher Ultra
Raw Material,Tanqueray Gin
Raw Material,Irish Whisky Jameson Triple Distilled
Raw Material,Don Angel Rare Reserve Blanco Tequila
Raw Material,Hendricks
Raw Material,Teachers 50
Raw Material,J W Double Black
Raw Material,Mc Dowell Blue Riband Dry
Raw Material,Ketel One
Raw Material,Carlsberg
Raw Material,Heineken
Raw Material,Bisleri 200ml
Raw Material,Laphroaig 10 Yo
Raw Material,Bacardi Limon
Raw Material,Amrut Amalgam
Raw Material,Biryani Handi
Raw Material,Kingfisher Strong
Raw Material,Indri Single Malt Whisky
Raw Material,Antiquity Blue
Raw Material,Old Monk Rum
Raw Material,Singleton
Raw Material,Monkey 47
Raw Material,Jack Daniels
Raw Material,Belvedere Vodka
Raw Material,Kingfisher
Raw Material,100 Piper
Raw Material,Sula Brut Cremant De Nashik
Raw Material,Mateus Rose
Raw Material,Havmor Chocolate Ice Cream
Raw Material,Sweet Paprika
Raw Material,Sauce Spoon
Raw Material,Tuty Fruty Red
Raw Material,Tuty Fruty Green
Raw Material,Tuty Fruty Orange
Raw Material,Dvg Smoothies Pumps
Raw Material,Butter Croissant Medium
Raw Material,Half Plate
Raw Material,Air Freshener Btl 250
Raw Material,Red La Reserve
Raw Material,Bacardi
Raw Material,The Source Sauvignon Blanc
Raw Material,Glenfiddich 18
Raw Material,Absolut Vodka
Raw Material,Honey Musterd Sauce 1kg
Raw Material,Signature Rare Aged
Raw Material,Two Oceans Pinotage
Raw Material,Swa Red Velvet Syrup
Raw Material,Swa Passionfruit Syrup
Raw Material,Swa Lemon Ginger Nariyal Pani Syrup
Raw Material,Swa Straberry Vanilla
Raw Material,Swa Jackfruit Syrup
Raw Material,Swa Lavendar Syrup
Raw Material,Swa Rich Cocoa Syrup
Raw Material,Swa Summer Berries
Raw Material,Swa Caramel Syrup
Raw Material,Swa Hibiscus Cascara Syrup
Raw Material,Swa Jamun Kala Khatta Syrup
Raw Material,Swa Coconut Syrup
Raw Material,Swa Sea Salt Syrup
Raw Material,Swa Orange Syrups
Raw Material,Swa Hazelnut Syrup
Raw Material,Sparking Mateus Rose
Raw Material,Royal Challenge
Raw Material,Rigatoni Pasta
Raw Material,Morpheus Blue Xo Pr
Raw Material,Fauconnier Liquer Triple Sec
Raw Material,Breezer Passion
Raw Material,Breezer Cranberrry
Raw Material,Wine Zonin Chianti Ventiterre
Raw Material,The Source Grenache Rose
Raw Material,B&g Merlot Reserve Varietal
Raw Material,Biscoff Biscut 250 Gm
Raw Material,Chocolate Croissant Small
Raw Material,Drain Kit Powder
Raw Material,Hazelnut Paste
Raw Material,Reveilo Merlot
Raw Material,Budweiser Magnum
Raw Material,Blue Curacao
Raw Material,Soup Spoon
Raw Material,Sula Chenin Blanc
Raw Material,Glenmorrangie
Raw Material,Ned Wine Res Sauvi Blance
Raw Material,Mixer Jar ( Butler )
Raw Material,Yuzu Ponzu
Raw Material,Millet Milk
Raw Material,Mix Fruit Premium Juice Bottles
Raw Material,Soya Sauce Lkk
Raw Material,B & G Cab Sauvignon Reserve
Raw Material,Quarter Plate
Raw Material,Hennessy Vs
Raw Material,Lagavulin16 Y.o Mlt
Raw Material,Jagermeister
Raw Material,J W Red Label
Raw Material,Sula Zinfandel Rose
Raw Material,The Botanist
Raw Material,Heineken Silver
Raw Material,Reveilo Cabernet Sauvignon
Raw Material,The Dalmore 12yrs Single Malt
Raw Material,Captain Morgan Original
Raw Material,Yellow Tail Chardonnay
Raw Material,Yellow Tail Shiraz
Raw Material,Bols Curacao Triple Sec
Raw Material,Johnnie Walker Blonde
Raw Material,Hot Drink Maker 2 Ltr
Raw Material,Hennessy Vsop
Raw Material,Dvg Chocolate Sauce 2 Ltr
Raw Material,Cake Base Round Big
Raw Material,Apple Premium Juice Bottles
Raw Material,Dessert Spoon
Raw Material,Reveilo Chardonnay
Raw Material,L .g Hing Powder 50g
Raw Material,Ciroc Vodka
Raw Material,Veeba Benetibi Orange Syrup 750ml
Raw Material,Veeba Benetibi Bluebrry Syrup 750ml
Raw Material,Macallan 12 Yo Trpcsk (t)
Raw Material,Sula Satori Red Wine
Raw Material,Gherkins
Raw Material,Singapore Laksa Paste 190g
Raw Material,Baileys Irish Cream
Raw Material,Smiroff Green Apple
Raw Material,Kingfisher Ultra Max
Raw Material,Macallan 15yo Double Cask
Raw Material,28/10 Steel Dustbin
Raw Material,Lea & Perrins Sauce
Raw Material,Ap Spoon
Raw Material,Olives Black Slice Imp
Raw Material,Paul John
Raw Material,Cono Sur Pinot Noir
Raw Material,Clear Gel
Raw Material,Rubber Ring Mat
Raw Material,Wine Zonins Pinot Grigio Friuli
Raw Material,Nankhatai Jar Lid
Raw Material,Youki Sauce 1kg
Raw Material,Monkey Bowl
