Type,Missing_Item
Food Item,Alaska
Food Item,THUMPS UP
Food Item,Ginger Ale
Food Item,Juices Natural
Food Item,FRESH LIME WATER
Food Item,Red Bull
Food Item,PEPSI
Food Item,FRESH LIME SODA
Food Item,DIET COKE
Food Item,SEVEN UP
Food Item,Tonic Water
Food Item,GREEN TEA
Food Item,Fresh Lime
Food Item,Peach Iced Tea
Food Item,Lemon Ice Tea
Food Item,Perrier Sparkling
Food Item,JASMINE TEA
Food Item,COLD COFFEE
Food Item,Perrier Sparkling Water 750 ML
Food Item,Bottled Water
Food Item,CAKE - N.c
Food Item,Soda
Food Item,CAKE - N.C
Food Item,Soda (complementary)
Food Item,Bar Snacks
Food Item,Lacchedar Paratha/naan
Food Item,Missi / Khasta Roti
Food Item,GLENLIVET - 12 YEARS (BTL)
Food Item,GLENFIDDICH - 12 YEARS (BTL)
Food Item,BLACK LABEL (BTL)
Food Item,Chivas Regal Btl
Food Item,GREY GOOSE (BTL)
Food Item,BOMBAY SAPPHIRE (BTL)
Food Item,TEACHER'S 50 (BTL)
Food Item,JAMESON (BTL)
Food Item,BACARDI LEMON (BTL)
Food Item,JIM BEAM (BTL)
Food Item,ABSOLUT (BTL)
Food Item,GORDON'S (BTL)
Food Item,FRIED RICE (VEG)
Food Item,MALAYSIAN NOODLES (VEG)
Food Item,HAKKA NOODLES (CHICKEN)
Food Item,BURNT GARLIC NOODLES (VEG)
Food Item,HAKKA NOODLES (VEG)
Food Item,HOT POT RICE (VEG)
Food Item,Futchi Rice (Veg)
Food Item,Fried Rice (Chicken)
Food Item,Fried Rice (Veg)
Food Item,FUTCHI RICE (VEG)
Food Item,FRIED RICE (CHICKEN)
Food Item,YANMEIN NOODLES (CHICKEN)
Food Item,FUTCHI RICE (CHICKEN)
Food Item,FRIED RICE (Egg)
Food Item,FUTCHI RICE (PRAWNS)
Food Item,Fortune Rice (Prawns)
Food Item,HOT POT RICE (CHICKEN)
Food Item,CORIANDER NOODLES (CHICKEN)
Food Item,BURNT GARLIC RICE (CHICKEN)
Food Item,BURNT GARLIC NOODLES (CHICKEN)
Food Item,SHANGHAI NOODLES (VEG)
Food Item,SZECHWAN FRIED RICE (CHICKEN)
Food Item,BURNT GARLIC RICE (VEG)
Food Item,FORTUNE RICE (CHICKEN)
Food Item,Burnt Garlic Noodles (Veg)
Food Item,Szechwan Fried Rice (Veg)
Food Item,Futchi Noodles (Veg)
Food Item,Fortune Rice (Veg)
Food Item,Hakka Noodles (Veg)
Food Item,Futchi Rice (Chicken)
Food Item,Hot Pot Rice (Veg)
Food Item,AMERICAN CHOPSUEY (CHICKEN)
Food Item,Fortune Rice (Chicken)
Food Item,Fried Rice (Egg)
Food Item,Burnt Garlic Rice (Chicken)
Food Item,Futchi Noodles (Chicken)
Food Item,Pan Fried Noodles (Veg)
Food Item,Burnt Garlic Rice (Veg)
Food Item,Shanghai Rice (Veg)
Food Item,Hot Pot Rice (Chicken)
Food Item,Burnt Garlic Noodles (Chicken)
Food Item,Pan Fried Noodles (Chicken)
Food Item,Thai Herb Rice (CHICKEN)
Food Item,Szechwan Noodle (Veg)
Food Item,FORTUNE RICE (VEG)
Food Item,American Chopsuey (Veg)
Food Item,SHANGHAI NOODLES (CHICKEN)
Food Item,SZECHWAN FRIED RICE (VEG)
Food Item,YANMEIN NOODLES (VEG)
Food Item,Fragrance Rice (PRAWNS)
Food Item,FRIED RICE (PRAWNS)
Food Item,FRIED RICE (Mixed Seafood)
Food Item,Thai Fried Rice (Mixed Seafood)
Food Item,HONG KONG NOODLES (Mixed Seafood)
Food Item,THAI FRIED RICE (Mixed Seafood)
Food Item,Prawn Fragrance Rice
Food Item,Fried Rice (Prawns)
Food Item,HAKKA NOODLES (Mixed Seafood)
Food Item,FUTCHI NOODLES (VEG)
Food Item,PAN FRIED NOODLES (CHICKEN)
Food Item,PAN FRIED NOODLES (VEG)
Food Item,American Chopsuey (Chicken)
Food Item,FORTUNE NOODLES (VEG)
Food Item,SPICY LIME RICE (VEG)
Food Item,MALAYSIAN NOODLES (CHICKEN)
Food Item,SHANGHAI RICE (VEG)
Food Item,HONG KONG NOODLES (VEG)
Food Item,SPICY LIME NOODLES (VEG)
Food Item,CORIANDER NOODLES (VEG)
Food Item,SZECHWAN NOODLE (VEG)
Food Item,AMERICAN CHOPSUEY (VEG)
Food Item,HOT POT NOODLES (VEG)
Food Item,GREEN PEPPER NOODLES (VEG)
Food Item,Fried Rice (veg)
Food Item,Thai Herb Rice (VEG)
Food Item,Fortune Noodles (Veg)
Food Item,FUTCHI NOODLES (CHICKEN)
Food Item,FUTCHI NOODLES (PRAWNS)
Food Item,HOT POT NOODLES (PRAWNS)
