Raw_Material,Unit,Purchased_Quantity,ConsumedQuantity,Variance,VariancePercentage
Melting Pot Coasters,PKT,10000.0,,,
Melting Pot Stickers,PKT,10000.0,,,
Methi (w),Kg,0.5,0.1,0.4,80.0
Methi Fresh,Kg,49.5,20.419999999999984,29.080000000000016,58.74747474747478
Milk 3 Fat,PKT,975.0,28.649999999999977,946.35,97.06153846153846
Milk Maid,TIN,54.0,,,
Millennium Kulfi,PCS,12.0,24.0,-12.0,-100.0
Mint Leaves,Kg,37.0,1.4900000000000002,35.51,95.97297297297297
Miso Paste Light,Kg,1.0,,,
Mix Fruit Jam 15 Gm,PCS,100.0,,,
Mixed Fruit Jam 1 Kg,JAR,2.0,,,
Mixed Pickle 12 Gm,PCS,1100.0,,,
Modak Box,BOX,1000.0,,,
Mojito Mint Syrup,BTL,4.0,,,
Monkey Shoulder,BTL,1.0,,,
Moong Dal,Kg,68.0,2.6,65.4,96.1764705882353
Mop Clip,NOS,6.0,,,
Mop Refill,NOS,20.0,,,
Muskmelon,Kg,29.299999999999997,,,
Mustard Oil,BTL,10.0,,,
Mutton Big Raan,Kg,138.6,39.45999999999998,99.14000000000001,71.52958152958155
Napthalene Ball Colour,PKT,5.0,,,
Nature Jaggery,PKT,20.0,,,
Ness Coffee,PKT,6.0,,,
Note Book,NOS,8.0,,,
Nutella Sauce,Kg,12.0,,,
Oat Milk,LTR,14.4,,,
Olive Oil Extra Virgin,BTL,4.0,,,
Olives Black Pitted Kitchen,TIN,4.0,,,
Olives Black Slice Imp,BTL,1.0,,,
Onion,Kg,1549.0,27.169999999999945,1521.8300000000002,98.24596513879924
Orange,Kg,12.0,,,
Orange Imp,Kg,326.29999999999995,,,
Orange Marmalade 15gm,PKT,100.0,,,
Oregano Dry,Kg,1.0,,,
Oreo Biscuit,PKT,400.0,,,
Pan Pasand Ice Cream,Kg,0.5,,,
Pandi Chilli,Kg,0.5,,,
Papad Big,PKT,40.0,,,
Papaya,Kg,56.8,,,
Papdi,PKT,4.0,0.6000000000000001,3.4,85.0
Paper Bag Big,NOS,950.0,,,
Paper Bag Small,NOS,3600.0,,,
Paper Straw,PKT,102.0,,,
Parsley Leaves,Kg,1.8999999999999997,,,
Peach Syrup,BTL,1.0,,,
Peanut Raw,Kg,3.0,,,
Peanut Roasted,Kg,75.0,,,
Pears Fruit,Kg,1.0,,,
Peel Garlic,Kg,283.0,61.60499999999927,221.39500000000072,78.23144876325114
Pen,NOS,40.0,,,
Pencil,NOS,100.0,,,
Penne Pasta,PKT,8.0,,,
