Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Restaurant Pentry,Fresh Basil,Kg,0.25,2.782000000000001,-2.532000000000001,-1012.8000000000004
Restaurant Pentry,Frut Overload Ice Cream,LTR,8.0,0.12,7.88,98.5
Restaurant Pentry,Ginger,Kg,16.3,3.398000000000002,12.902,79.15337423312883
Restaurant Pentry,Green Chilly,Kg,29.0,18.64699999999974,10.35300000000026,35.7000000000009
Restaurant Pentry,Green Lemon,Kg,22.0,,,
Restaurant Pentry,Gulab Badam Slice Kulfi,PCS,25.0,11.0,14.0,56.00000000000001
Restaurant Pentry,Honey,BTL,3.0,0.12,2.88,96.0
Restaurant Pentry,Iceberg Lettuce,Kg,4.0,0.8,3.2,80.0
Restaurant Pentry,Imli,Kg,2.4000000000000004,0.04,2.3600000000000003,98.33333333333333
Restaurant Pentry,Jal Jeera,PKT,4.0,3.2,0.7999999999999998,19.999999999999996
Restaurant Pentry,Kaju Tukda,Kg,2.0,6.024000000000002,-4.024000000000002,-201.2000000000001
Restaurant Pentry,Kesar Pista Kulfi,PCS,11.0,9.0,2.0,18.181818181818183
Restaurant Pentry,Khajur,Kg,6.0,,,
Restaurant Pentry,Kokam Syrup,BTL,2.0,,,
Restaurant Pentry,Lemon,Kg,70.0,2.887000000000002,67.113,95.87571428571428
Restaurant Pentry,Lemon Ice Tea,Kg,1.0,,,
Restaurant Pentry,Malai Kulfi,PCS,230.0,134.0,96.0,41.73913043478261
Restaurant Pentry,Mango Slice Kulfi,PCS,2.0,3.0,-1.0,-50.0
Restaurant Pentry,Milk 3 Fat,PKT,603.0,28.64999999999998,574.35,95.24875621890547
Restaurant Pentry,Millennium Kulfi,PCS,24.0,24.0,0.0,0.0
Restaurant Pentry,Mint Leaves,Kg,0.5,1.49,-0.99,-198.0
Restaurant Pentry,Mixed Fruit Jam 1 Kg,JAR,1.0,,,
Restaurant Pentry,Muskmelon,Kg,29.299999999999997,,,
Restaurant Pentry,Nature Jaggery,PKT,6.0,,,
Restaurant Pentry,Ness Coffee,PKT,4.0,,,
Restaurant Pentry,Olive Oil Pomace,BTL,1.0,,,
Restaurant Pentry,Onion,Kg,534.0,27.169999999999945,506.83000000000004,94.9119850187266
Restaurant Pentry,Orange,Kg,9.0,,,
Restaurant Pentry,Orange Imp,Kg,301.3,,,
Restaurant Pentry,Papaya,Kg,56.79999999999999,,,
Restaurant Pentry,Papdi,PKT,3.0,0.6000000000000001,2.4,80.0
Restaurant Pentry,Parsley Leaves,Kg,0.2,,,
Restaurant Pentry,Peel Garlic,Kg,2.0,61.60499999999928,-59.60499999999928,-2980.249999999964
Restaurant Pentry,Pineapple Fruit,Kg,92.15,0.17,91.98,99.8155181768855
Restaurant Pentry,Pineapple Slice,TIN,5.0,,,
Restaurant Pentry,Pista,Kg,0.2,0.2870000000000001,-0.08700000000000008,-43.500000000000036
Restaurant Pentry,Potato,Kg,124.0,22.45499999999997,101.54500000000003,81.89112903225809
Restaurant Pentry,Raddish,Kg,19.0,,,
Restaurant Pentry,Red Cherry,TIN,6.0,,,
Restaurant Pentry,Refind Oil,LTR,31.0,35.69899999999958,-4.698999999999579,-15.158064516127673
Restaurant Pentry,Roasted Almond Slice Kulfi,PCS,25.0,6.0,19.0,76.0
Restaurant Pentry,Salt Tata,PKT,2.0,29.94699999999923,-27.94699999999923,-1397.3499999999615
Restaurant Pentry,Sev,Kg,1.0,0.12000000000000001,0.88,88.0
Restaurant Pentry,Sev Puri,NOS,1.0,,,
Restaurant Pentry,Strawberry Ice Cream,LTR,4.0,0.27,3.73,93.25
Restaurant Pentry,Sugar,Kg,52.0,30.33599999999956,21.66400000000044,41.66153846153931
Restaurant Pentry,Sundried Tomatoes Oil,BTL,1.0,,,
Restaurant Pentry,Sweet Lemon,Kg,48.300000000000004,,,
Restaurant Pentry,Tea Powder,Kg,18.0,,,
Restaurant Pentry,Tomatos,Kg,156.0,,,
Restaurant Pentry,Vanilla Md Ice Cream,LTR,52.0,1.92,50.08,96.3076923076923
Restaurant Pentry,Vanilla Sticks,JAR,3.0,,,
Restaurant Pentry,Veg Mayonnaise,BTL,2.0,0.7,1.3,65.0
Restaurant Pentry,Wafer Chips,PKT,8.0,,,
Restaurant Pentry,Water Melon,Kg,258.4500000000001,,,
Restaurant South Indian Dept,Amul Cream,PKT,2.0,90.7340000000005,-88.7340000000005,-4436.700000000025
Restaurant South Indian Dept,Appam Rice,Kg,36.0,18.40000000000001,17.59999999999999,48.888888888888864
Restaurant South Indian Dept,Aromatic Powder,PKT,1.0,5.236000000000004,-4.236000000000004,-423.6000000000004
Restaurant South Indian Dept,Banana Leaf,PCS,220.0,11.0,209.0,95.0
Restaurant South Indian Dept,Bedki Chilli Dry,Kg,4.0,0.8300000000000001,3.17,79.25
Restaurant South Indian Dept,Beetroots,Kg,1.0,3.5,-2.5,-250.0
Restaurant South Indian Dept,Capsicum,Kg,0.5,73.45499999999993,-72.95499999999993,-14590.999999999985
Restaurant South Indian Dept,Check Duster,PCS,4.0,,,
Restaurant South Indian Dept,Chicken Masala,PKT,1.0,4.480000000000002,-3.480000000000002,-348.0000000000002
Restaurant South Indian Dept,Chicken Seasoning Powder,PKT,1.0,,,
Restaurant South Indian Dept,Coconut Big,PCS,165.0,1200.5,-1035.5,-627.5757575757575
Restaurant South Indian Dept,Coconut Milk Powder,PKT,6.0,32.152000000000044,-26.152000000000044,-435.8666666666674
Restaurant South Indian Dept,Coconut Oil,BTL,9.0,0.42999999999999994,8.57,95.22222222222223
Restaurant South Indian Dept,Coriander Leaves,Kg,4.0,19.017999999999713,-15.017999999999713,-375.4499999999928
Restaurant South Indian Dept,Corn Flour,Kg,2.0,12.114000000000003,-10.114000000000003,-505.7000000000001
Restaurant South Indian Dept,Curd Mother Dairy,Kg,6.0,19.5619999999999,-13.561999999999902,-226.0333333333317
Restaurant South Indian Dept,Dhaniya Whole,Kg,2.0,0.485,1.5150000000000001,75.75
Restaurant South Indian Dept,Eggs,PCS,22.0,16664.0,-16642.0,-75645.45454545454
Restaurant South Indian Dept,Floor Duster,NOS,1.0,,,
Restaurant South Indian Dept,Fresh Beans,Kg,4.0,3.2200000000000015,0.7799999999999985,19.49999999999996
Restaurant South Indian Dept,Ghee Nandani,Kg,4.0,42.68600000000008,-38.68600000000008,-967.1500000000019
Restaurant South Indian Dept,Ginger,Kg,1.5,3.398000000000002,-1.898000000000002,-126.53333333333346
Restaurant South Indian Dept,Green Elaichi,Kg,0.1,0.7962500000000006,-0.6962500000000006,-696.2500000000006
Restaurant South Indian Dept,Haldi Powder,Kg,1.0,7.240000000000002,-6.240000000000002,-624.0000000000002
Restaurant South Indian Dept,Hing Powder,BTL,2.0,0.56,1.44,72.0
Restaurant South Indian Dept,Imli,Kg,3.9,0.04,3.86,98.97435897435898
Restaurant South Indian Dept,Jeera Whole,Kg,1.0,8.984000000000002,-7.984000000000002,-798.4000000000002
Restaurant South Indian Dept,Kashmiri Chilli,Kg,1.0,1.9520000000000004,-0.9520000000000004,-95.20000000000005
Restaurant South Indian Dept,Kashmiri Chilli Powder,PKT,2.0,0.05,1.95,97.5
Restaurant South Indian Dept,Khas Khas,Kg,0.25,,,
Restaurant South Indian Dept,Kokum,Kg,1.0,0.612,0.388,38.800000000000004
Restaurant South Indian Dept,Lemon,Kg,15.0,2.887000000000002,12.112999999999998,80.75333333333332
Restaurant South Indian Dept,Maida,Kg,5.0,129.06700000000063,-124.06700000000063,-2481.3400000000124
Restaurant South Indian Dept,Malai Paneer,Kg,2.0,334.8149999999996,-332.8149999999996,-16640.749999999978
Restaurant South Indian Dept,Milk 3 Fat,PKT,2.0,28.64999999999998,-26.64999999999998,-1332.499999999999
Restaurant South Indian Dept,Mint Leaves,Kg,1.0,1.49,-0.49,-49.0
Restaurant South Indian Dept,Onion,Kg,21.0,27.169999999999945,-6.169999999999945,-29.38095238095212
Restaurant South Indian Dept,Peanut Roasted,Kg,1.0,,,
Restaurant South Indian Dept,Peel Garlic,Kg,2.0,61.60499999999928,-59.60499999999928,-2980.249999999964
Restaurant South Indian Dept,Peri Peri Masala,Kg,1.0,0.19999999999999998,0.8,80.0
Restaurant South Indian Dept,Refind Oil,LTR,12.0,35.69899999999958,-23.69899999999958,-197.49166666666315
Restaurant South Indian Dept,Salt Tata,PKT,2.0,29.94699999999923,-27.94699999999923,-1397.3499999999615
Restaurant South Indian Dept,Salt Whole,Kg,1.0,,,
Restaurant South Indian Dept,Sugar,Kg,1.5,30.33599999999956,-28.83599999999956,-1922.399999999971
Restaurant South Indian Dept,Tomatos,Kg,9.0,,,
Restaurant South Indian Dept,Ukda Rice Brown,Kg,4.0,,,
Restaurant South Indian Dept,White Vinegar,BTL,1.0,0.7957142857142858,0.20428571428571418,20.428571428571416
Restaurant Tandoor,8 To 9 Sauce,BTL,16.0,0.16,15.84,99.0
Restaurant Tandoor,American Corn,Kg,2.0,41.35999999999998,-39.35999999999998,-1967.9999999999989
Restaurant Tandoor,Amul Cream,PKT,5.0,90.7340000000005,-85.7340000000005,-1714.6800000000103
Restaurant Tandoor,Atta,Kg,320.0,72.09999999999977,247.90000000000023,77.46875000000007
Restaurant Tandoor,Baby Corn,Kg,2.5,10.730000000000006,-8.230000000000006,-329.2000000000003
Restaurant Tandoor,Beetroots,Kg,5.5,3.5,2.0,36.36363636363637
Restaurant Tandoor,Besan,Kg,5.5,3.25,2.25,40.909090909090914
Restaurant Tandoor,Black Salt Powder,Kg,3.0,,,
Restaurant Tandoor,Bread Crumbs Penko,Kg,16.0,5.100000000000001,10.899999999999999,68.12499999999999
Restaurant Tandoor,Bread Slice,PKT,4.0,35.14600000000001,-31.146000000000008,-778.6500000000002
Restaurant Tandoor,Broccoli,Kg,6.5,17.329999999999995,-10.829999999999995,-166.61538461538456
Restaurant Tandoor,Butter Amul,PKT,98.0,43.673999999999715,54.326000000000285,55.43469387755131
Restaurant Tandoor,Capsicum,Kg,49.0,73.45499999999993,-24.454999999999927,-49.90816326530597
Restaurant Tandoor,Carrots,Kg,16.0,32.40999999999992,-16.40999999999992,-102.56249999999949
Restaurant Tandoor,Cauliflower,Kg,26.0,29.609999999999975,-3.6099999999999746,-13.884615384615287
Restaurant Tandoor,Chat Masala,PKT,38.0,148.6800000000012,-110.6800000000012,-291.26315789474
Restaurant Tandoor,Cheese Amul,Kg,35.0,13.455000000000004,21.544999999999995,61.55714285714284
Restaurant Tandoor,Coriander Leaves,Kg,58.0,19.017999999999713,38.98200000000028,67.2103448275867
Restaurant Tandoor,Curd Mother Dairy,Kg,208.0,19.5619999999999,188.4380000000001,90.59519230769236
Restaurant Tandoor,Dalda,Kg,4.0,,,
Restaurant Tandoor,Daliya,Kg,2.0,,,
