Raw_Material,DayOfWeek,Unit,Total_Amount_Past_30days,Avg_Quantity_Current_Month,Avg_Quantity_Previous_Three_Months,Quantity_Change,PercentageChange
Yellow Banana Chips,Wednesday,Kg,4940.0,13.0,10.0,3.0,30.0
Amul Cream,Friday,PKT,4920.0,12.0,12.0,0.0,0.0
Amul Cream,Saturday,PKT,4920.0,12.0,12.0,0.0,0.0
Peanut Roasted,Saturday,Kg,4863.6,8.333333333333334,7.666666666666667,0.666666666666667,8.7
Medium Prawns,Sunday,Kg,4840.0,2.933333333333333,3.55,-0.6166666666666667,-17.37
Bisleri 250 Ml,Saturday,BTL,4800.0,960.0,960.0,0.0,0.0
Swa Coconut Syrup,Monday,BTL,4798.08,12.0,2.0,10.0,500.0
Swa Hibiscus Cascara Syrup,Monday,BTL,4798.08,12.0,2.0,10.0,500.0
J W Double Black,Friday,BTL,4739.43,1.0,1.0,0.0,0.0
Lemon Iced Tea Syrup,Thursday,LTR,4736.52,6.0,6.0,0.0,0.0
Fresh Beans,Thursday,Kg,4716.0,13.1,11.875,1.2249999999999996,10.32
Appam Rice,Wednesday,Kg,4680.0,30.0,30.0,0.0,0.0
Green Vatana,Wednesday,Kg,4670.0,8.333333333333334,7.222222222222222,1.1111111111111116,15.38
Tomato Ketchup,Tuesday,BTL,4535.709,18.0,11.0,7.0,63.64
Monkey Shoulder,Saturday,BTL,4521.11,1.0,1.0,0.0,0.0
Almond Milk,Monday,PKT,4500.0,30.0,30.0,0.0,0.0
Almond Milk,Thursday,PKT,4500.0,30.0,30.0,0.0,0.0
Aromatic Powder,Saturday,PKT,4498.632,12.0,9.0,3.0,33.33
Amul Milk,Tuesday,LTR,4435.2,30.0,28.363636363636363,1.6363636363636367,5.77
Corona,Saturday,BTL,4374.144,24.0,24.0,0.0,0.0
Hoegaarden Belgian,Saturday,BTL,4374.144,24.0,24.0,0.0,0.0
Tomatos,Tuesday,Kg,4280.0,26.75,23.769230769230774,2.9807692307692264,12.54
Smirnoff,Wednesday,BTL,4266.75,3.0,3.0,0.0,0.0
Wafer Potatos,Sunday,Kg,4154.0,22.25,16.25,6.0,36.92
Silver Foil,Saturday,PCS,4153.599999999999,4.666666666666667,4.75,-0.08333333333333304,-1.75
Chapati For Staff,Monday,PCS,4125.0,250.0,288.46153846153845,-38.46153846153845,-13.33
Chapati For Staff,Tuesday,PCS,4125.0,250.0,284.375,-34.375,-12.09
Ballantine S Finest,Friday,BTL,4111.4400000000005,1.0,1.3333333333333333,-0.33333333333333326,-25.0
Cheese Amul,Saturday,Kg,4085.76,8.0,7.75,0.25,3.23
Potato Starch,Thursday,Kg,4081.201,5.666666666666667,3.6666666666666665,2.0000000000000004,54.55
