Raw_Material,Category,Sub_Category,HSN_Code,Sap_Code,Unit,Date,Closing
Wafer Chips,Bakery,,0,,PKT,2024-07-31,3.0
Tortilla Bread,Bakery,Food Ingredients,0,,PKT,2024-07-31,0.0
Drinking Chocolate,Bakery,Food Ingredients,0,,PKT,2024-07-31,1.0
Dairy Cream Sachet,Bakery,Food Ingredients,0,,PKT,2024-07-31,1.0
Green Vatana,Grocery,Dal,0,,Kg,2024-07-31,0.0
Balar Dal,Grocery,Dal,0,,Kg,2024-07-31,0.0
Gluten,Grocery,,0,,Kg,2024-07-31,0.0
White Vatana,Grocery,,0,,Kg,2024-07-31,0.0
Soya Keema,Grocery,,0,,Kg,2024-07-31,0.0
Shiitake Mushroom,Grocery,,0,,Kg,2024-07-31,0.8
Sheera Rava,Grocery,,0,,Kg,2024-07-31,0.0
Salt Whole,Grocery,,0,,Kg,2024-07-31,2.0
Sabudana,Grocery,,0,,Kg,2024-07-31,3.0
Potato Starch,Grocery,,0,,Kg,2024-07-31,9.0
Poha,Grocery,,0,,Kg,2024-07-31,0.0
Peanut Roasted,Grocery,,0,,Kg,2024-07-31,6.0
Peanut Raw,Grocery,,0,,Kg,2024-07-31,1.0
Lemon Pickle,Grocery,,0,,Kg,2024-07-31,10.0
Imli,Grocery,,0,,Kg,2024-07-31,4.5
Idli Rava,Grocery,,0,,Kg,2024-07-31,0.0
Farsan,Grocery,,0,,Kg,2024-07-31,0.0
Daliya,Grocery,,0,,Kg,2024-07-31,0.0
Dalda,Grocery,,0,,Kg,2024-07-31,7.0
Corn Flour,Grocery,,0,,Kg,2024-07-31,16.0
Coconut Powder,Grocery,,0,,Kg,2024-07-31,0.0
Coconut Dry,Grocery,,0,,Kg,2024-07-31,0.0
Citric Acid,Grocery,,0,,Kg,2024-07-31,0.5
Chawli Dal,Grocery,,0,,Kg,2024-07-31,0.0
Char Magaz,Grocery,,0,,Kg,2024-07-31,3.0
Bread Crumbs Penko,Grocery,,0,,Kg,2024-07-31,6.0
Boondi,Grocery,,0,,Kg,2024-07-31,0.5
Black Salt Powder,Grocery,,0,,Kg,2024-07-31,2.0
Sugar,Grocery,Sugar,0,,Kg,2024-07-31,45.0
Palm Sugar,Grocery,Sugar,0,,Kg,2024-07-31,1.5
Icing Sugar,Grocery,Sugar,0,,Kg,2024-07-31,17.0
Demerara Sugar,Grocery,Sugar,0,,Kg,2024-07-31,4.0
Castor Sugar,Grocery,Sugar,0,,Kg,2024-07-31,0.5
Yellow Chilli Powder,Grocery,Spices,0,,Kg,2024-07-31,0.5
White Pepper Powder,Grocery,Spices,0,,Kg,2024-07-31,2.5
Trifala,Grocery,Spices,0,,Kg,2024-07-31,0.25
Tej Patta,Grocery,Spices,0,,Kg,2024-07-31,0.45
Star Fool,Grocery,Spices,0,,Kg,2024-07-31,0.95
Peri Peri Masala,Grocery,Spices,0,,Kg,2024-07-31,0.0
Pandi Chilli,Grocery,Spices,0,,Kg,2024-07-31,0.25
Methi (w),Grocery,Spices,0,,Kg,2024-07-31,0.45
Laung,Grocery,Spices,0,,Kg,2024-07-31,0.3
Kashmiri Chilli,Grocery,Spices,0,,Kg,2024-07-31,12.9
Kalonji,Grocery,Spices,0,,Kg,2024-07-31,0.0
Jeera Whole,Grocery,Spices,0,,Kg,2024-07-31,0.0
Jeera Powder,Grocery,Spices,0,,Kg,2024-07-31,3.0
Javantry,Grocery,Spices,0,,Kg,2024-07-31,0.2
Jaiphal,Grocery,Spices,0,,Kg,2024-07-31,0.2
Haldi Powder,Grocery,Spices,0,,Kg,2024-07-31,2.0
