Department,Raw_Material,Unit,IssuedQuantity,ConsumedQuantity,Variance,VariancePercentage
Staff Kitchen,Black Pepper Whole,Kg,0.1,1.8370000000000004,-1.7370000000000003,-1737.0
Staff Kitchen,Carrots,Kg,4.0,32.40999999999992,-28.40999999999992,-710.249999999998
Staff Kitchen,Cauliflower,Kg,8.0,29.609999999999978,-21.609999999999978,-270.1249999999997
Staff Kitchen,Chicken Masala,PKT,3.0,4.480000000000002,-1.4800000000000022,-49.33333333333341
Staff Kitchen,Cinnamon (dalchini),Kg,0.1,0.2980000000000002,-0.1980000000000002,-198.0000000000002
Staff Kitchen,Coriander Leaves,Kg,11.0,19.017999999999716,-8.017999999999716,-72.8909090909065
Staff Kitchen,Eggs,PCS,1650.0,16664.0,-15014.0,-909.939393939394
Staff Kitchen,Fresh Beans,Kg,8.0,3.2200000000000006,4.779999999999999,59.74999999999999
Staff Kitchen,Garam Masala,Kg,3.0,6.021000000000004,-3.0210000000000043,-100.70000000000014
Staff Kitchen,Ghee Nandani,Kg,1.0,42.68600000000007,-41.68600000000007,-4168.600000000007
Staff Kitchen,Ginger,Kg,8.5,3.3980000000000024,5.101999999999998,60.02352941176468
Staff Kitchen,Green Chilly,Kg,14.0,18.64699999999974,-4.646999999999739,-33.19285714285528
Staff Kitchen,Green Elaichi,Kg,0.1,0.7962500000000006,-0.6962500000000006,-696.2500000000006
Staff Kitchen,Green Peas,PKT,15.0,4.956000000000001,10.043999999999999,66.95999999999998
Staff Kitchen,Haldi Powder,Kg,6.0,7.240000000000002,-1.240000000000002,-20.6666666666667
Staff Kitchen,Kabuli Chana,Kg,27.0,6.5,20.5,75.92592592592592
Staff Kitchen,Kaju Tukda,Kg,1.0,6.024000000000002,-5.024000000000002,-502.4000000000002
Staff Kitchen,Kashmiri Chilli,Kg,1.0,1.9520000000000004,-0.9520000000000004,-95.20000000000005
