Item_Name_k,Preparation_Time_Taken_Mins_k
Papad Fried,61.35537848605577
ALOO JEERA,61.402358490566037
Martini (MONKEY 47),61.47
BLUE RIBAND,61.486956521739131
Chicken Samble Oelek Sauce,61.576
Paneer Tikka Masala,61.678389830508458
Whisky Sour (BALLANTINES),61.7
Vegetable Gassi,61.830120120120121
MALAYSIAN NOODLES (VEG),61.893281249999994
SUNTORY TOKI,61.966666666666669
Paneer Babycorn In Red Chilli Flakes,62.071052631578951
"Tofu,babycorn,mushroom,broccoli In Lemon & Paper Sauce",62.07244444444445
Ghost Hara Pyaaz,62.11625
Surmai (Pullimunchi),62.15
LASOONI PALAK,62.225299539170507
GOBI SOYA KHEEMA ADRAKI,62.38
Cheeese Naan,62.640069204152269
HOT POT NOODLES (VEG),62.810930232558135
Seafood Suimono Soup,62.865
Amaercian Cole Slaw,62.892727272727271
Subzi Kofta Masala,63.1439617486339
PANEER MAKHANWALA,63.175438596491226
Rawas (Gassi),63.205052631578951
Brown Rice,63.224464285714291
Ludhiyani Tangdi,63.367947761194017
Coastal Surmai (Mangalorian Curry),63.368571428571428
HAKKA NOODLES (PRAWNS),63.406363636363636
HONG KONG NOODLES (Mixed Seafood),63.42
Malysian Soup,63.431666666666672
Chicken Kebabs (Chicken Sheekh),63.535714285714313
Kamikaze (ABSOLUT),63.56727272727273
HIBIKI 12 YEARS,63.715714285714284
Thai Herb Rice (VEG),63.875471698113245
Tandoori Prawns (250 Gms),63.88
Bandas (squid) Masala Fry,64.030499999999989
Bhindi Mirch Masala,64.162985074626818
Rawas (Masala Fry),64.325
THAI CURRY RED (VEG),64.358484848484849
FUTCHI NOODLES (PRAWNS),64.367499999999993
Paneer Makhmali,64.5
Gatta Subzi,64.5
Shaam Savera Kofta,64.5
Tandoori Prawns (150 GMS),64.533333333333331
Clams Chilly & Coriander,64.568571428571445
Nederburg Shiraz,64.592
Coastal Rawas (Pullimunchi),64.64
Tandoori Prawns (100 GMS),64.703333333333347
HONG KONG NOODLES (CHICKEN),64.927857142857135
Rawas (Mangalorian Curry),64.966666666666669
Coastal Crab,65.27
Oriental Noodles (CHICKEN),65.373333333333335
Cosmopolitan (KETEL ONE),65.53
Nilgiri Korma,65.532666666666657
Wonton & Noodle Soup (SEA FOOD),65.6125
Shitake Chicken,66.0335294117647
THAI FRIED RICE (Mixed Seafood),66.203333333333333
SIEMPRE SILVER,66.263529411764708
Lobster (700 GMS),66.435
MUTTON ROGAN JOSH,66.4428510638298
GLENLIVET - 12 YEARS (BTL),66.47
XO,66.506
Spicy Chilly Garlic Chicken,66.600579710144928
Indian Prawns (100 GMS),66.815
Nam Prick (Mushroom),66.85199999999999
Dewars,66.88875
Paneer Saffron Tikka,67.093495934959392
MILK SHAKE,67.111710526315775
THUMPS UP,67.190454227812722
THAI CURRY GREEN (VEG),67.2125714285714
Kokum Rus,67.418653846153831
Surmai (Gassi),67.524615384615373
Spice Corn Ball In Choice Of Sauce,67.6995
HAKKA NOODLES (VEG),67.736181818181819
Coastal Prawns REG,67.866482758620677
FUTCHI RICE (PRAWNS),67.937777777777768
Tom Kha (SEA FOOD),67.94
YAMAZAKI,68.035999999999987
WONTON (Crabmeat),68.09
Indian Lobster,68.3
Steam Chicken With Stir Fried Vegetables,68.367972027972016
Paneer Peri Peri Tikka,68.58791519434628
Vegetable Stew,68.607016129032246
Chicken Kebabs (Murg Nawabi Sheekh),68.891224489795945
HAKKA NOODLES (CHICKEN),68.996965174129372
Clams In Sukha Mangalorian Masala,69.123281249999991
Plain Kulcha,69.212170542635675
CHICKEN GASSI,69.296870229007624
Coastal Surmai (Gassi),69.414249999999981
Old Fashioned (CHIVAS REGAL),69.58
HAKKA NOODLES (Mixed Seafood),69.6475
Tandoori Chicken (HALF),70.31563380281689
AMERICAN CHOPSUEY (CHICKEN),70.378461538461536
SHANGHAI NOODLES (VEG),70.431071428571414
Beluga,70.44
Coastal Surmai (REGULAR),70.476666666666659
VEG SANDWICH,70.596835443037989
Screw Driver (REGULAR),70.708333333333329
Mutton Kebabs (Lucknowi Sheekh),70.737357512953409
ROASTED PAPAD,70.749677217173485
"Brocoli,Babycorn Mushroom Sizzle Chilly",70.754444444444431
Chinese Squid (Chilly Fry),70.783333333333331
Screw Driver (CIROC),70.823333333333338
Red Bull,71.1016326530612
Ghost Sofiana,71.186666666666667
Babycorn In Sambal Sauce,71.231000000000009
Prawns Green Fry,71.299375
MUTTON GHEE ROAST,71.394583333333344
