Record_Type,Timestamp,Invoice_No_,Staff,Settled_By,Total_Sales,Total_Discount,Percentage,Reason,Area,Table_No_,Items
Detail,2023-11-02 23:26:38+00:00,8477,Multiple,,3550.0,1065.0,30.0,,Dine in,12,"Chicken Kebabs (Chicken Angare),GAJAR HALWA,KULFI RABDI FALOODA,Prawns (100 GMS),WONTON (CHICKEN)"
Detail,2024-03-03 14:29:52+00:00,16301,TD,,2605.0,781.5,30.0,,Dine in,6,"COFFEE,Chinese Prawns (100 GMS),FRIED RICE (Egg),Sour & Pepper Soup (CHICKEN)"
Detail,2024-03-11 14:53:37+00:00,16765,TD,,15015.0,1501.5,10.0,,Dine in,30,"ALOO JEERA,Amritsari Dal,Butter Naan,Butter Paratha,Chicken Kebabs (Murg Lalwari),Coastal Rawas (Gassi),DIET COKE,FRESH LIME SODA,GULAB JAMUN,Juices Fresh,KULFI RABDI FALOODA,Lemon Coriander Soup (CHICKEN),Lemon Coriander Soup (VEG),Manchow Soup (CHICKEN),Mushroom Galauti,Neer Dosa(4pc),Paneer Ke Shikanje,Subzi Kurkure Kebab,Sweet Corn Soup (CHICKEN),TOMATO SOUP,Veg Sweet Corn Soup,Virgin Mojito"
Detail,2024-03-16 14:51:17+00:00,17023,TD,,12450.0,1245.0,10.0,,Dine in,10,"ALOO KULCHA,Amritsari Dal,BUTTER PUDINA PARATHA,Butter Paratha,Butter Roti,Crispy Corn,Diwani Handi,Fruit Punch,Juices Fresh,KESAR PISTA KULFI,KULFI RABDI FALOODA,Manchow Soup (VEG),PANEER MALAI TIKKA,PUDINA PARATHA,Paneer Ke Shikanje,Sweet Corn Soup (VEG)"
Detail,2023-08-06 22:12:19+00:00,3108,Multiple,,70.0,10.5,15.0,,Dine in,B 2,Papad Fried
Detail,2023-09-30 23:27:53+00:00,6386,MK,,4750.0,1425.0,30.0,,Garden Table,G 4,"Butter Naan,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Chicken Malai),Crispy Spinach Paneer,FRESH LIME SODA,Hari Subzi Aur Makai Ki Sheek,Murg Makhanwala,Roti,THUMPS UP"
Detail,2023-08-08 14:53:30+00:00,3200,Multiple,,10690.0,1069.0,10.0,,Dine in,10,"ALOO KULCHA,Fruit Punch,Kung Pao Patato,MILLENNIUM KULFI,Manchow Soup (VEG),Paneer Ke Shikanje,Papad Masala,Peshawari Kofta,ROASTED MASALA PAPAD,Stuffed Kulcha,Subzi Noorani,TOMATO SOUP,Virgin Colada"
Detail,2023-09-21 23:05:02+00:00,5908,SK,,1270.0,127.0,10.0,,Dine in,12,"Naan,PANEER MAKHANWALA,Papad Masala,Roti"
Detail,2023-10-21 15:55:33+00:00,7645,TB,,4240.0,424.0,10.0,,Dine in,4,"Chicken Kebabs (Chicken Malai),Dum Pukht Biryani (VEG),FRESH LIME SODA,Paneer Ke Shikanje,Papad Masala,ROASTED PAPAD,Roomali Roti,Soda,Spicy Crab Soup,Virgin Mojito"
Detail,2023-12-04 23:25:48+00:00,10617,SM,,4100.0,410.0,10.0,,Garden Table,G 5,"Butter Baby Kulcha,Butter Naan,Butter Roti,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Murg Bemisal),Roti,Tawa Chicken,Tishing Hai Chicken"
Detail,2024-01-26 15:55:29+00:00,13979,Multiple,,7700.0,2310.0,30.0,,Garden Table,G 1,"Chicken Kebabs (Makhmali),Devil Chicken,FRESH LIME SODA,FRESH LIME WATER,Ghee Rice,MALAI KULFI,Maratha Chicken,Pompfret (500 GMS),Prawns (100 GMS),ROASTED PAPAD,Roti"
Detail,2023-09-12 23:06:21+00:00,5445,TB,,1740.0,522.0,30.0,,Dine in,5,"Dal Tadka,ROASTED MASALA PAPAD,ROASTED PAPAD,Roti,Subzi Kurkure Kebab"
Detail,2024-03-13 13:28:56+00:00,16853,TD,,4465.0,893.0,20.0,,Dine in,16,"Butter Roomali Roti,Creme Bruleé,Exotic Hot Pot Vegtable,FRIED RICE (VEG),Garlic Naan,HAKKA NOODLES (VEG),Lemon Ice Tea,Pindi Chana,Raita"
Detail,2023-10-08 14:42:06+00:00,6873,SK,,4775.0,716.5999999999999,15.007329842931934,,Dine in,1,"Butter Roti,Dal Tadka,Fragrance Rice (VEG),Murg Tikka Nawabi,PANEER MALAI TIKKA,Roti,Sweet Corn Soup (VEG),THAI CURRY GREEN (CHICKEN),THUMPS UP"
Detail,2023-11-03 23:18:20+00:00,2322,Multiple,,9295.0,3150.1000000000004,33.89026358257128,,Garden Table,G 4,"ABSOLUT,BLACK & WHITE,OLD MONK (DARK),Planters Punch"
Detail,2024-03-27 15:03:26+00:00,17650,TD,,10045.0,1004.5,10.0,,Dine in,30,"Amritsari Dal,Appam (2pc),BROWNIE SUNDAE,Butter Kulcha,Butter Paratha,CREAM CARAMEL,Chicken Kebabs (Chicken Angare),FRESH LIME SODA,Manchow Soup (CHICKEN),Mushroom Galauti,Paneer Ke Shikanje,Paneer Khurchan,Pompfret (500 GMS),Stir Fried Chicken Chilly & Basil"
Detail,2023-12-13 15:37:25+00:00,11150,TD,,4500.0,450.0,10.0,,Dine in,16,"Butter Kulcha,Cheese & Garlic Naan,Chilly Crispy Patato,Dim Sum (VEG),GULAB JAMUN,MANGO KULFI,Paneer Lawabdar,Subzi Lahori"
Detail,2023-11-16 23:00:30+00:00,9441,Multiple,,7395.0,1479.0,20.0,,Dine in,15,"BUTTER GARLIC NAAN,Chicken Kebabs (Chicken Angare),Chicken Kebabs (Chicken Reshmi),Dim Sum (CHICKEN),FRIED RICE (CHICKEN),FRIED RICE (VEG),Garlic Bread,Hara Bhara Kabab,Manchow Soup (VEG),PEPSI,Papad Masala,VEG MANCHURIAN DRY"
Detail,2024-01-19 22:28:04+00:00,13570,TD,,3515.0,703.0,20.0,,Dine in,15,"Basmati Rice,Butter Roti,Garlic Bread,HAKKA NOODLES (VEG),Murg Makhanwala,Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Roomali Roti"
Detail,2023-11-21 23:15:13+00:00,9732,TD,,1510.0,302.0,20.0,,Dine in,22,"Exotic Stir Fried Vegetable,Garlic Bread,Manchow Soup (VEG)"
Detail,2023-07-05 16:06:57+00:00,1173,SK,,10500.0,1050.0,10.0,,Dine in,11,"Butter Naan,Butter Roti,CREAM CARAMEL,Ceasar Salad,Chicken Kebabs (Patra Chicken),Exotic Stir Fried Vegetable,FRESH LIME SODA,FUTCHI RICE (VEG),Kung Pao Patato,Lemon Fizz,MALAI KULFI,Manchow Soup (CHICKEN),Manchow Soup (VEG),Mirchi Ka Salan,Mushroom Galauti,ROASTED PAPAD,Rawas (Tawa Fry)"
Detail,2023-08-06 00:53:04+00:00,3030,MK,,7870.0,787.0,10.0,,Dine in,30,"Assorted Indian Breads ( 7 Types ),BUTTER GARLIC NAAN,Butter Naan,Dal Tadka,MUTTON ROGAN JOSH,Murg Makhanwala,Papad Masala,ROASTED PAPAD,Roomali Roti,THUMPS UP,Zafrani Chicken"
Detail,2023-12-31 20:57:40+00:00,3487,SK,,1000.0,300.0,30.0,,Dine in,12,HOUSEWINE-IMPORTED RED
Detail,2024-01-03 15:48:31+00:00,12542,MK,,14310.0,2147.6,15.007686932215234,,Dine in,10,"ALOO KULCHA,ALOO PARATHA,BUTTER GARLIC NAAN,Burnt Garlic Soup (VEG),Butter Paratha,CARAMEL CUSTARD(EGG LESS),Crispy Corn,Diwani Handi,FRESH LIME SODA,Lemon Coriander Soup (VEG),Lemon Ice Tea,MOONGDAL HALWA,Murg Makhanwala,ONION KULCHA,PANEER TIKKA,Peach Iced Tea,Sweet Corn Soup (CHICKEN),Sweet Corn Soup (VEG),TOMATO SOUP,VANILLA ICE CREAM,VEG CRISPY,Virgin Colada,Virgin Mojito,Virgin Toddy,WONTON (CHICKEN)"
Detail,2023-09-08 23:39:46+00:00,1379,Multiple,,1785.0,446.3,25.00280112044818,,Garden Table,G 2,HOEGAARDEN
Detail,2024-01-02 23:46:50+00:00,12526,MK,,10675.0,3202.6000000000004,30.000936768149888,,Dine in,16,"BUTTER GARLIC NAAN,CHICKEN GASSI,CHICKEN SUKHA,CHICKEN TIKKA (Jamaican),Chinese Prawns REG,Coastal Pompfret,Coastal Prawns REG,Coastal Surmai (Mallipuram),DIET COKE,Ghee Rice,Kori Roti,Neer Dosa(4pc),Papad Masala,THUMPS UP,Tonic Water"
Detail,2024-02-07 15:39:10+00:00,14699,MK,,4810.0,1443.0,30.0,,Dine in,16,"Chicken Kebabs (Chicken Angare),Creme Bruleé,Malabari Paratha (1pc),Neer Dosa(4pc),Pompfret (400 GMS),Rajasthani Laal Maas"
Detail,2023-11-03 23:08:26+00:00,8533,Multiple,,13820.0,4146.0,30.0,,Personal Dine In Room,PDR 2,"BUTTER GARLIC NAAN,Bhara Hua Aloo,Crispy Corn,DAL KHICHDI,Dal Tadka,Dum Pukht Biryani (VEG),FRESH LIME SODA,Jeera Rice,Juices Fresh,MALAI KULFI,Manchow Soup (VEG),Paneer Ke Shikanje,Plain Curd,ROASTED PAPAD,Roti,TANDOORI ALOO,TOMATO SOUP,Tom Yum Soup (VEG),Tonic Water,VEG MANCHURIAN DRY"
Detail,2024-02-14 15:52:28+00:00,15157,Multiple,,12910.0,1937.3999999999994,15.006971340046471,,Dine in,15,"BLUE BERRY CHEESE CAKE,Butter Paratha,DIET COKE,Diwani Handi,Exotic Stir Fried Vegetable,FRESH LIME SODA,GAJAR HALWA,Hara Bhara Kabab,Juices Fresh,Lemon Coriander Soup (VEG),MOONGDAL HALWA,Manchow Soup (VEG),Paneer Ke Shikanje,Paratha Stuffed,Phalguni Sabzi,Roti,VANILLA ICE CREAM,Veg Sweet Corn Soup,Virgin Mojito"
Detail,2024-02-25 16:15:19+00:00,15888,SM,,6685.0,1337.0,20.0,,Dine in,2,"Brown Rice,CREAM CARAMEL,Coastal Prawns REG,Coastal Surmai (Rawa Fry),Coastal Surmai (Tawa Fry),DIET COKE,Fresh Spinach & Lettuce Salad,Indian Malwani Bombil Fry,Neer Dosa(4pc)"
Detail,2023-12-17 01:01:24+00:00,11392,TB,,12310.0,1231.0,10.0,,Personal Dine In Room,PDR 1,"Amritsari Dal,BLUE BERRY CHEESE CAKE,Butter Paratha,Butter Roti,Ceasar Salad,Cheese & Garlic Naan,Dim Sum (VEG),Diwani Handi,FRESH LIME SODA,GULAB JAMUN,HAKKA NOODLES (VEG),Jeera Rice,Juices Fresh,MALAI KULFI,Mushroom Galauti,PANEER CHILLY DRY,Paneer Baby Corn Water Chesnut Brocoli In Sambal Sauce,Paneer Khurchan,Papad Masala,Peach Iced Tea,ROASTED PAPAD,Red Bull,Roti,THUMPS UP"
Detail,2024-03-19 15:29:00+00:00,17230,TD,,13945.0,1394.5,10.0,,Dine in,12,"Assorted Stir Fried Vegetable Salt & Pepper,BUTTER GARLIC NAAN,BUTTER SCOTCH ICE CREAM,Butter Naan,Crispy Spinach Chicken,FRESH LIME SODA,Lemon Ice Tea,Manchow Soup (VEG),Methi Chicken,Missi Roti,Paneer Ke Shikanje,Peach Iced Tea,Phalguni Sabzi,Roti,Spicy Chilly Garlic Chicken,TIRAMISU,Virgin Colada,Virgin Mojito"
Detail,2024-01-30 00:16:17+00:00,14258,Multiple,,6010.0,601.0,10.0,,Garden Table,G 5,"Butter Paratha,Butter Roti,Dal Tadka,GAJAR HALWA,Jeera Rice,Karele Kaju Masala,Roti,Subzi Kurkure Kebab,Subzi Sunheri,VANILLA ICE CREAM,VEG CRISPY"
Detail,2023-09-30 21:49:25+00:00,6358,Multiple,,11875.0,2375.0,20.0,,Garden Table,G 4,"Amritsari Dal,BLUE BERRY CHEESE CAKE,BURNT GARLIC RICE (VEG),Basmati Rice,Butter Naan,CLEAR SOUP (VEG),Chicken Hunan,Chicken Kebabs (Patra Chicken),Juices Fresh,Manchow Soup (CHICKEN),Murg Tikka Nawabi,Pompfret (500 GMS),Virgin Mojito"
Detail,2024-03-04 15:03:16+00:00,16373,SM,,6940.0,1041.1999999999998,15.0028818443804,,Dine in,30,"ALOO PARATHA,Amritsari Dal,Dim Sum (VEG),GULAB JAMUN,KULFI RABDI FALOODA,Lemon Coriander Soup (VEG),Paneer Ke Shikanje,Paratha Stuffed,ROASTED MASALA PAPAD,Wonton & Noodle Soup (VEG)"
Detail,2023-10-13 15:02:02+00:00,7160,Multiple,,18200.0,2730.900000000001,15.004945054945061,,Dine in,10,"ANGOORI RABDI,BLUE BERRY CHEESE CAKE,BUTTER SCOTCH ICE CREAM,CARAMEL CUSTARD(EGG LESS),CHICKEN GHEE ROAST,CREAM CARAMEL,Chicken Kebabs (Patra Chicken),Chicken Pepper Chilly Garlic,Crispy Corn,Dingri Lasooni,Dum Pukht Biryani (VEG),FRESH LIME SODA,Manchow Soup (CHICKEN),Manchow Soup (VEG),Neer Dosa(4pc),Paneer Ke Shikanje,Peach Iced Tea,Sour & Pepper Soup (CHICKEN),TOMATO SOUP,Vegetable Gassi,Virgin Mojito"
Detail,2023-11-22 15:25:18+00:00,9753,Multiple,,15355.0,2303.8,15.003581895148162,,Dine in,14,"Butter Roti,CREAM CARAMEL,Chicken Kebabs (Chicken Angare),Dal Tadka,Exotic Stir Fried Vegetable,FRESH LIME SODA,KULFI RABDI FALOODA,Murg Tikka Nawabi,Mutton Kebabs (Gilafi Sheekh),Neer Dosa(4pc),Paneer Ke Shikanje,Phalguni Sabzi,Roti,Subzi Kurkure Kebab,Vegetable Gassi"
Detail,2024-03-15 22:58:34+00:00,4952,Multiple,,600.0,90.0,15.0,,Personal Dine In Room,PDR 4,Caprioska (ABSOLUT)
