Type,No_of_Bills,Timestamp,Invoice_No_,Staff,Name,Phone,f0_
Details,,2024-10-12 22:09:12+00:00,11379,SK,,,2.0
Details,,2024-10-09 01:09:44+00:00,11144,SK,,,4.0
Details,,2024-10-12 00:50:18+00:00,11307,SK,,,3.0
Details,,2024-10-16 22:46:41+00:00,11671,SK,,,3.0
Details,,2024-10-02 21:34:30+00:00,10778,SK,,,4.0
Details,,2024-10-17 21:04:39+00:00,11696,SK,,,2.0
Details,,2024-10-16 00:04:49+00:00,11615,SK,,,3.0
Details,,2024-10-06 20:20:47+00:00,11014,SK,,,2.0
Details,,2024-10-16 00:32:45+00:00,11616,SK,,,5.0
Details,,2024-10-10 23:19:15+00:00,11225,SK,,,4.0
Details,,2024-10-16 20:25:50+00:00,11652,SK,,,2.0
Details,,2024-10-03 22:20:44+00:00,10837,SK,,,2.0
Details,,2024-10-08 20:35:50+00:00,11125,SK,,,2.0
Details,,2024-10-03 22:00:12+00:00,10832,SK,,,8.0
Details,,2024-10-02 22:52:18+00:00,10792,SK,,,3.0
Details,,2024-10-15 22:49:17+00:00,11606,SK,,,2.0
Details,,2024-10-07 00:06:25+00:00,11056,SK,,,8.0
Details,,2024-10-05 23:46:38+00:00,10964,SK,,,1.0
Details,,2024-10-12 01:09:50+00:00,11309,SK,,,4.0
Details,,2024-10-02 00:42:45+00:00,10721,SK,,,2.0
Details,,2024-10-12 20:06:53+00:00,11358,SK,,,4.0
Details,,2024-10-13 15:47:04+00:00,11446,SK,,,7.0
Details,,2024-10-05 22:34:41+00:00,10950,SK,,,3.0
Details,,2024-10-13 23:16:54+00:00,11515,SK,,,4.0
Details,,2024-10-03 21:53:19+00:00,10830,SK,,,3.0
Details,,2024-10-02 22:05:54+00:00,10783,SK,,,12.0
Details,,2024-10-10 20:13:18+00:00,11202,SK,,,2.0
Details,,2024-10-02 21:34:06+00:00,10777,SK,,,4.0
Details,,2024-10-08 21:46:36+00:00,11132,SK,,,12.0
Details,,2024-10-02 21:08:13+00:00,10770,SK,,,2.0
Details,,2024-10-11 22:34:24+00:00,11282,SK,,,7.0
Details,,2024-10-10 23:29:40+00:00,11227,SK,,,2.0
Details,,2024-10-04 00:16:50+00:00,10851,SK,,,2.0
Details,,2024-10-16 23:15:03+00:00,11677,SK,,,3.0
Details,,2024-10-10 22:41:19+00:00,11217,SK,,,2.0
Details,,2024-10-03 00:21:29+00:00,10801,SK,,,6.0
Details,,2024-10-15 21:37:49+00:00,11592,SK,,,7.0
Details,,2024-10-06 21:59:29+00:00,11035,SK,,,5.0
Details,,2024-10-17 21:16:01+00:00,11701,SK,,,2.0
Details,,2024-10-03 21:30:21+00:00,10824,SK,,,4.0
Details,,2024-10-12 22:37:42+00:00,11381,SK,,,3.0
Details,,2024-10-05 20:30:44+00:00,10927,SK,,,2.0
Details,,2024-10-12 00:16:27+00:00,11303,SK,,,4.0
Details,,2024-10-03 22:07:53+00:00,10834,SK,,,4.0
Details,,2024-10-05 21:28:48+00:00,10937,SK,,,3.0
Details,,2024-10-12 23:16:12+00:00,11399,SK,,,3.0
Details,,2024-10-12 21:25:44+00:00,11372,SK,,,3.0
Details,,2024-10-11 23:29:20+00:00,11294,SK,,,2.0
Details,,2024-10-12 20:50:31+00:00,11368,SK,,,4.0
Details,,2024-10-11 22:57:22+00:00,11287,SK,,,2.0
Details,,2024-10-02 21:25:25+00:00,10772,SK,,,2.0
Details,,2024-10-02 20:49:19+00:00,10768,SK,,,2.0
Details,,2024-10-18 00:12:59+00:00,11726,SK,,,3.0
Details,,2024-10-17 22:27:58+00:00,11711,SK,,,3.0
Details,,2024-10-08 23:16:26+00:00,11139,SK,,,2.0
Details,,2024-10-15 22:32:12+00:00,11603,SK,,,4.0
Details,,2024-10-16 21:14:28+00:00,11663,SK,,,4.0
Details,,2024-10-13 22:42:24+00:00,3091,SK,,,16.0
Details,,2024-10-15 21:50:29+00:00,3110,SK,,,2.0
Details,,2024-10-12 22:42:50+00:00,11382,SK,,,3.0
Details,,2024-10-08 20:59:17+00:00,2998,SK,,,2.0
Details,,2024-10-11 23:45:57+00:00,3042,SK,,,3.0
Details,,2024-10-02 00:43:37+00:00,2915,SK,,,2.0
Details,,2024-10-11 23:39:07+00:00,11296,SK,,,5.0
Details,,2024-10-12 20:53:14+00:00,3052,SK,,,2.0
Details,,2024-10-02 00:49:02+00:00,2916,SK,,,2.0
Details,,2024-10-10 21:41:59+00:00,3021,SK,,,2.0
Details,,2024-10-03 21:49:25+00:00,2922,SK,,,2.0
Details,,2024-10-15 21:01:27+00:00,11582,SK,,,2.0
Details,,2024-10-12 20:36:05+00:00,3051,SK,,,2.0
Details,,2024-10-05 23:46:43+00:00,10965,SK,,,3.0
Details,,2024-10-06 22:06:13+00:00,2976,SK,,,2.0
Details,,2024-10-15 23:02:12+00:00,3115,SK,,,1.0
Details,,2024-10-10 18:55:01+00:00,3017,SK,,,2.0
Details,,2024-10-08 19:50:51+00:00,2996,SK,,,2.0
Details,,2024-10-05 19:52:21+00:00,2951,SK,,,3.0
Details,,2024-10-05 21:35:22+00:00,2956,SK,,,3.0
Details,,2024-10-03 21:59:02+00:00,2925,SK,,,1.0
Details,,2024-10-17 23:25:23+00:00,3145,SK,,,1.0
Details,,2024-10-13 00:42:33+00:00,11411,SK,,,2.0
Details,,2024-10-11 23:28:13+00:00,11293,SK,,,3.0
Details,,2024-10-01 22:52:27+00:00,2909,SK,,,3.0
Details,,2024-10-18 00:04:57+00:00,3149,SK,,,2.0
Details,,2024-10-01 21:40:13+00:00,2904,SK,,,1.0
Details,,2024-10-16 00:39:56+00:00,3118,SK,,,1.0
Details,,2024-10-10 23:24:38+00:00,11226,SK,,,3.0
Details,,2024-10-14 23:53:09+00:00,11560,TB,,,7.0
Details,,2024-10-11 23:47:20+00:00,11300,TB,,,25.0
Details,,2024-10-02 15:20:13+00:00,10743,TB,,,10.0
Details,,2024-10-14 23:27:21+00:00,11559,TB,,,10.0
Details,,2024-10-13 15:49:56+00:00,11448,TB,,,25.0
Details,,2024-10-15 23:11:51+00:00,11610,TB,,,8.0
Details,,2024-10-17 21:03:42+00:00,3136,TB,,,25.0
Details,,2024-10-12 20:53:15+00:00,11369,SK,,,0.0
Details,,2024-10-13 23:13:30+00:00,11514,UU,,,0.0
Details,,2024-10-12 20:36:07+00:00,11366,SK,,,0.0
Details,,2024-10-13 21:38:55+00:00,11494,TD,,,0.0
Details,,2024-10-05 21:08:39+00:00,10935,SM,,,0.0
Details,,2024-10-09 22:25:16+00:00,11176,TD,,,0.0
Details,,2024-10-05 21:35:24+00:00,10938,SK,,,0.0
Details,,2024-10-17 23:25:24+00:00,11717,SK,,,0.0
Details,,2024-10-03 21:59:03+00:00,10831,SK,,,0.0
Details,,2024-10-13 22:42:25+00:00,11507,SK,,,0.0
Details,,2024-10-18 00:04:58+00:00,11724,SK,,,0.0
Details,,2024-10-15 23:02:14+00:00,11608,SK,,,0.0
Details,,2024-10-12 23:10:07+00:00,11398,MK,,,0.0
Details,,2024-10-14 21:16:42+00:00,11546,SM,,,0.0
Details,,2024-10-07 23:47:17+00:00,11101,MK,,,0.0
Details,,2024-10-06 19:52:20+00:00,11007,UU,,,0.0
Details,,2024-10-03 20:07:56+00:00,10814,MK,,,0.0
Details,,2024-10-06 22:06:15+00:00,11036,SK,,,0.0
Details,,2024-10-10 18:55:02+00:00,11197,SK,,,0.0
Details,,2024-10-12 22:46:37+00:00,11385,MK,,,0.0
Details,,2024-10-03 21:49:27+00:00,10828,SK,,,0.0
Details,,2024-10-06 22:21:06+00:00,11040,MK,,,0.0
Details,,2024-10-17 23:37:36+00:00,11720,MK,,,0.0
Details,,2024-10-09 21:02:22+00:00,11170,MK,,,0.0
Details,,2024-10-05 23:24:13+00:00,10960,SM,,,0.0
Details,,2024-10-15 23:11:52+00:00,3116,TB,,,0.0
Details,,2024-10-05 19:52:22+00:00,10919,SK,,,0.0
Details,,2024-10-15 21:50:30+00:00,11593,SK,,,0.0
Details,,2024-10-06 20:30:15+00:00,11016,MK,,,0.0
Details,,2024-10-04 21:46:23+00:00,10871,TD,,,0.0
Details,,2024-10-12 20:04:31+00:00,11356,UU,,,0.0
Details,,2024-10-05 22:34:42+00:00,2959,SK,,,0.0
