Waived_Off,Order_Total,Settled_Total,Duration__In_Minutes_,Invoice_No_,First_Print_Date_year,First_Print_Date_month,First_Print_Date_day,First_Print_Date_hour,Payment_Type_year,Payment_Type_month,Payment_Type_day,Payment_Type_hour,Order_Type_year,Order_Type_month,Order_Type_day,Order_Type_hour,Status_year,Status_month,Status_day,Status_hour,Settled_By_year,Settled_By_month,Settled_By_day,Settled_By_hour,Settlement_Counter_year,Settlement_Counter_month,Settlement_Counter_day,Settlement_Counter_hour,Last_Settlement_Date_year,Last_Settlement_Date_month,Last_Settlement_Date_day,Last_Settlement_Date_hour,Biller_year,Biller_month,Biller_day,Biller_hour,Date_year,Date_month,Date_day,Date_hour
,-0.31495954620335215,,,1.5845479493606227,2024,9,28,15,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,28.0,15.0,,,,,2024,9,28,15
,0.3549936427648147,,,-0.116743965721894,2024,6,16,23,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,16.0,23.0,,,,,2024,6,16,23
,-0.404536504056998,,,-0.15732576514096291,2024,6,15,21,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,15.0,21.0,,,,,2024,6,15,21
,-0.05897183819481623,,,-0.2524929426518781,2024,6,9,0,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,9.0,0.0,,,,,2024,6,9,0
,0.13498663749247125,,,-0.07387586774400427,2024,6,20,0,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,20.0,0.0,,,,,2024,6,20,0
,-0.612924740737446,,,0.9406691177327191,2024,8,19,21,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,19.0,21.0,,,,,2024,8,19,21
,0.477740310953388,,,0.678316358108034,2024,8,5,22,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,5.0,22.0,,,,,2024,8,5,22
,0.71555026810041,,,-0.8334985639122101,2024,5,5,22,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,5.0,22.0,,,,,2024,5,5,22
,-0.0979509328256914,,,1.6168419165039662,2024,9,29,20,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,29.0,20.0,,,,,2024,9,29,20
,-0.04472947669507338,,,1.6279876219782177,2024,9,29,23,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,29.0,23.0,,,,,2024,9,29,23
,0.20207565613599676,,,-0.6820312843903331,2024,5,13,23,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,13.0,23.0,,,,,2024,5,13,23
,-0.21207722431705184,,,-0.8500742284636609,2024,5,5,14,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,5.0,14.0,,,,,2024,5,5,14
,-0.49917324823292086,,,1.5151016306364413,2024,9,22,23,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,22.0,23.0,,,,,2024,9,22,23
,-0.7101850778212162,,,0.12446053223369884,2024,7,1,23,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,1.0,23.0,,,,,2024,7,1,23
,-0.6963175153083087,,,-0.003286399740412527,2024,6,23,22,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,23.0,22.0,,,,,2024,6,23,22
,-0.6176097280728877,,,0.11102852820062672,2024,6,30,22,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,30.0,22.0,,,,,2024,6,30,22
,-0.6176097280728877,,,0.44997228954580815,2024,7,23,14,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,23.0,14.0,,,,,2024,7,23,14
,-0.3067139684929747,,,0.7429042923947212,2024,8,10,13,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,10.0,13.0,,,,,2024,8,10,13
,0.526464179241982,,,1.6465637977686365,2024,10,1,22,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,1.0,22.0,,,,,2024,10,1,22
,0.8817736187618824,,,-1.2747541857646216,2024,4,9,21,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,9.0,21.0,,,,,2024,4,9,21
,-0.2428107412375496,,,0.4539733120237445,2024,7,23,19,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,23.0,19.0,,,,,2024,7,23,19
,-0.39722792381370886,,,0.25135010224825244,2024,7,10,21,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,10.0,21.0,,,,,2024,7,10,21
,-0.22013540253401162,,,1.3393424289270937,2024,9,13,12,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,13.0,12.0,,,,,2024,9,13,12
,0.9040741584785851,,,-1.2661805661690437,2024,5,2,12,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,2.0,12.0,,,,,2024,5,2,12
,-0.6236065118622531,,,-1.1461498918309525,2024,4,18,19,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,18.0,19.0,,,,,2024,4,18,19
,-0.41990326251724686,,,1.545966661180522,2024,9,25,22,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,25.0,22.0,,,,,2024,9,25,22
,-0.690508131012361,,,1.7711670692243693,2024,10,8,22,,,,,,,,,,,,,,,,,,,,,2024.0,10.0,8.0,22.0,,,,,2024,10,8,22
,-0.6236065118622531,,,1.2804702410374584,2024,9,8,22,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,8.0,22.0,,,,,2024,9,8,22
,-0.17197373272567068,,,-0.8800818970481836,2024,5,3,22,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,3.0,22.0,,,,,2024,5,3,22
,0.5999247806617082,,,-0.7374740244417372,2024,5,11,22,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,11.0,22.0,,,,,2024,5,11,22
,-0.17778311702161842,,,1.0412662543208338,2024,8,25,21,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,25.0,21.0,,,,,2024,8,25,21
,6.663797588670644,,,-0.8289259667945685,2024,5,5,23,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,5.0,23.0,,,,,2024,5,5,23
,-0.6708311842035057,,,-1.170727601338276,2024,4,16,21,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,16.0,21.0,,,,,2024,4,16,21
,-0.6176097280728877,,,0.30936492817832983,2024,7,14,12,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,14.0,12.0,,,,,2024,7,14,12
,-0.30409037558512736,,,0.4448281177884614,2024,7,22,22,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,22.0,22.0,,,,,2024,7,22,22
,0.49554326282806654,,,-0.9343814878201773,2024,4,30,21,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,30.0,21.0,,,,,2024,4,30,21
,-0.6176097280728877,,,-0.20390909827693643,2024,6,12,19,,,,,,,,,,,,,,,,,,,,,2024.0,6.0,12.0,19.0,,,,,2024,6,12,19
,-0.6442204561381967,,,0.8706512243688326,2024,8,16,13,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,16.0,13.0,,,,,2024,8,16,13
,-0.30483997355879805,,,0.8194952941152175,2024,8,13,19,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,13.0,19.0,,,,,2024,8,13,19
,-0.23400296504691914,,,-0.8537894636217446,2024,5,5,0,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,5.0,0.0,,,,,2024,5,5,0
,-0.009685771425969264,,,1.4605162525445952,2024,9,21,13,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,21.0,13.0,,,,,2024,9,21,13
,-0.46113115106913405,,,-1.099566558694979,2024,4,21,11,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,21.0,11.0,,,,,2024,4,21,11
,-0.6236065118622531,,,0.9746778087951783,2024,8,22,20,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,22.0,20.0,,,,,2024,8,22,20
,-0.7474775770113323,,,1.2667524496845337,2024,9,8,13,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,8.0,13.0,,,,,2024,9,8,13
,-0.5291571671797479,,,-0.8746519379709843,2024,5,4,13,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,4.0,13.0,,,,,2024,5,4,13
,-0.3867335521823194,,,-0.6014392601919004,2024,5,19,1,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,19.0,1.0,,,,,2024,5,19,1
,-0.6303528936252892,,,-0.8683646169342271,2024,5,4,20,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,4.0,20.0,,,,,2024,5,4,20
,0.25304831834560276,,,1.6048388490701573,2024,9,29,13,,,,,,,,,,,,,,,,,,,,,2024.0,9.0,29.0,13.0,,,,,2024,9,29,13
,-0.6314772905857952,,,-1.1681555154596026,2024,5,23,18,,,,,,,,,,,,,,,,,,,,,2024.0,5.0,23.0,18.0,,,,,2024,5,23,18
,0.11118690182842728,,,-0.9318094019415039,2024,4,30,23,,,,,,,,,,,,,,,,,,,,,2024.0,4.0,30.0,23.0,,,,,2024,4,30,23
,-0.4167174711291465,,,0.41596359848334896,2024,7,21,14,,,,,,,,,,,,,,,,,,,,,2024.0,7.0,21.0,14.0,,,,,2024,7,21,14
,-0.7740883050766414,,,0.5974385465897488,2024,8,1,18,,,,,,,,,,,,,,,,,,,,,2024.0,8.0,1.0,18.0,,,,,2024,8,1,18
